date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-07-21,6846,30000,2607700,86.6,87.2,86.5,87.1,-1.9,25,87.61807911482126,87.42831356927323,87.36714407214978,
2023-07-24,6846,22000,1910400,86.8,87.1,86.7,86.7,-0.4,20,87.31205274321417,87.29589292031446,87.30913154413676,
2023-07-25,6846,11000,957200,86.7,87.2,86.7,87.1,0.4,10,87.24136849547611,87.26027602571183,87.29094619247269,
2023-07-26,6846,17000,1474300,87.1,87.1,86.5,86.5,-0.6,16,86.99424566365074,87.12204402103696,87.22216826269245,
2023-07-27,6846,37000,3251100,88.0,88.2,87.5,88.1,1.6,28,87.36283044243383,87.29985419903024,87.29850145724093,
2023-07-28,6846,159000,14398700,88.1,94.6,88.1,92.5,4.4,129,89.07522029495588,88.24533525375202,87.75080567835042,
2023-07-31,6846,95000,8786900,95.0,95.2,90.4,90.5,-2.0,73,89.55014686330392,88.65527429852438,87.98986605414603,
2023-08-01,6846,14000,1261500,90.6,90.6,89.6,89.6,-0.9,13,89.56676457553594,88.82704260788358,88.12987770161159,
2023-08-02,6846,52000,4548100,88.8,88.9,86.1,87.2,-2.4,47,88.77784305035729,88.53121667917748,88.04901877103667,
2023-08-04,6846,23000,1995900,87.2,87.5,86.3,86.3,-0.9,22,87.95189536690486,88.12554091932702,87.89693018225087,
2023-08-07,6846,31000,2675800,86.2,86.8,86.0,86.8,0.5,29,87.56793024460325,87.88453347944939,87.80154494901166,
2023-08-08,6846,25000,2151600,86.0,86.2,86.0,86.0,-0.8,22,87.0452868297355,87.5418910286404,87.6448888664889,
2023-08-09,6846,23000,1967800,85.4,86.0,85.2,85.2,-0.8,22,86.43019121982367,87.11609265979669,87.43228983462029,
2023-08-10,6846,19000,1593400,84.5,84.5,83.4,83.6,-1.6,19,85.48679414654912,86.4768030852882,87.09904724030548,
2023-08-11,6846,14000,1167500,83.5,84.0,83.1,83.5,-0.1,14,84.82452943103274,85.93556616069034,86.7860866107137,
2023-08-14,6846,25000,2044700,81.3,82.7,81.1,81.8,-1.7,22,83.81635295402182,85.18364504056483,86.35251386195598,
2023-08-15,6846,5000,410700,81.8,83.0,81.7,83.0,1.2,5,83.54423530268122,84.78661866955304,86.06099091743808,
2023-08-16,6846,2000,166000,83.0,83.0,83.0,83.0,0.0,2,83.36282353512081,84.46177891145248,85.79481779418259,
2023-08-17,6846,8000,659400,83.0,83.0,82.0,83.0,0.0,8,83.24188235674721,84.19600092755203,85.55179015990585,87.77727272727275
2023-08-18,6846,4000,332900,83.3,83.3,83.2,83.2,0.2,4,83.22792157116481,84.0149098498153,85.34728666774012,87.64063772048848
2023-08-21,6846,1000,83200,83.2,83.2,83.2,83.2,0.0,1,83.21861438077654,83.86674442257615,85.16056608793663,87.50808137062316
2023-08-22,6846,11000,949600,89.9,89.9,84.2,84.3,1.1,11,83.57907625385103,83.94551816392594,85.085734254203,87.41231774761948
2023-08-23,6846,5000,416500,83.3,83.3,83.3,83.3,-1.0,4,83.48605083590068,83.82815122503031,84.93045301470708,87.2895619939592
