date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2016-09-20,1598,2779154,134582111,48.9,49.5,47.05,47.15,0.0,1666,,,,,
2016-09-21,1598,1573000,73036300,47.5,47.55,45.15,47.0,-0.15,721,,,,,
2016-09-22,1598,374023,17434382,47.0,47.0,46.2,46.95,-0.05,246,,,,,
2016-09-23,1598,684169,32471945,46.75,48.5,46.75,47.5,0.55,415,,,,,
2016-09-26,1598,912000,42778550,47.45,47.8,46.3,47.1,-0.4,294,47.14,,,,
2016-09-29,1598,404944,18904729,47.35,47.35,46.35,46.4,-0.7,224,46.89333333333333,,,,
2016-09-30,1598,562150,26524169,46.3,47.95,46.0,47.3,0.9,295,47.028888888888886,,,,
2016-10-03,1598,266103,12462241,47.0,47.2,46.4,46.55,-0.75,152,46.86925925925926,,,,
2016-10-04,1598,252000,11663400,46.5,46.95,46.0,46.05,-0.5,139,46.596172839506174,,,,
2016-10-05,1598,162102,7444151,46.05,46.3,45.7,45.75,-0.3,99,46.31411522633745,46.775000000000006,,,
2016-10-06,1598,101369,4666363,45.65,46.5,45.65,45.85,0.1,66,46.15941015089163,46.606818181818184,,,
2016-10-07,1598,96034,4365157,45.85,45.85,45.1,45.5,-0.35,83,45.93960676726109,46.405578512396694,,,
2016-10-11,1598,696368,29093290,45.8,45.8,40.95,41.15,-4.35,443,44.34307117817406,45.450018782870025,,,
2016-10-12,1598,199000,8073750,41.0,41.0,40.0,40.8,-0.35,103,43.162047452116035,44.604560822348205,,,
2016-10-13,1598,139070,5757705,40.8,42.0,40.8,41.1,0.3,96,42.47469830141069,43.96736794555762,,,
2016-10-14,1598,146000,5871150,40.9,41.3,40.0,40.3,-0.8,102,41.749798867607126,43.30057377363805,,,
2016-10-17,1598,88200,3590620,40.35,41.3,40.35,40.7,0.4,60,41.39986591173808,42.82774217843113,,,
2016-10-18,1598,113200,4667750,40.7,41.6,40.65,41.35,0.65,82,41.383243941158725,42.55906178235274,,,
2016-10-19,1598,75010,3116370,41.35,42.0,41.0,41.6,0.25,59,41.45549596077248,42.38468691283406,,,
2016-10-20,1598,133000,5568100,41.3,42.2,41.1,42.05,0.45,98,41.65366397384832,42.323834746864236,,,
2016-10-21,1598,109000,4600400,42.8,42.8,41.75,41.9,-0.15,55,41.73577598256554,42.246773883798014,,,
2016-10-24,1598,115000,4775500,41.1,42.0,41.1,41.8,-0.1,73,41.75718398837703,42.165542268562014,44.175,,
2016-10-25,1598,83000,3439500,41.8,41.8,41.2,41.35,-0.45,43,41.621455992251356,42.01726185609619,43.92934782608695,,
2016-10-26,1598,154000,6371250,41.2,41.95,40.8,41.5,0.15,82,41.580970661500906,41.92321424589689,43.718100189035916,,
2016-10-27,1598,161000,6525200,41.3,41.3,40.35,40.4,-1.1,113,41.18731377433394,41.64626620118836,43.4295697378154,,
2016-10-28,1598,182000,7312950,40.4,40.85,39.6,40.0,-0.4,96,40.79154251622263,41.346945073699565,43.13134628235319,,
2016-10-31,1598,91000,3595450,40.0,40.0,38.7,39.4,-0.6,65,40.327695010815084,40.99295506029964,42.806881388235524,,
2016-11-01,1598,370000,14431650,39.4,39.4,38.9,39.0,-0.4,43,39.88513000721006,40.63059959479062,42.47584822404113,,
2016-11-02,1598,65000,2553000,39.3,39.9,38.8,38.8,-0.2,53,39.5234200048067,40.297763304828685,42.156209248037555,,
2016-11-03,1598,157484,5933083,38.5,38.5,37.0,37.2,-1.6,113,38.74894666987114,39.73453361304165,41.7252345308169,,
2016-11-04,1598,129100,4802500,37.2,37.5,36.5,37.5,0.3,89,38.33263111324742,39.32825477430681,41.35782283248499,,
2016-11-07,1598,169200,6362390,37.1,38.5,36.5,37.95,0.45,111,38.205087408831616,39.07766299716012,41.0614904122689,,
2016-11-08,1598,60000,2237400,37.5,38.0,37.0,37.0,-0.95,57,37.80339160588775,38.69990608858555,40.70831733294117,,
2016-11-09,1598,248400,8790559,37.0,37.05,34.75,34.85,-2.15,138,36.8189277372585,37.999923163388175,40.19889843442455,,
