date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema
2023-11-09,6922,777000,80514900,100.0,110.5,99.7,105.0,23.0,602,,,
2023-11-10,6922,318000,32466300,99.7,105.5,99.0,101.5,-3.5,265,,,
2023-11-13,6922,195000,20059000,103.0,104.5,100.0,104.5,3.0,173,,,
2023-11-14,6922,79000,8141500,104.5,104.5,101.5,103.5,-1.0,73,,,
2023-11-15,6922,125000,13122000,103.5,107.0,103.5,104.0,0.5,110,103.7,,
2023-11-16,6922,365000,40269500,104.5,114.0,104.5,114.0,10.0,309,107.13333333333334,,
2023-11-17,6922,591000,72187000,116.0,125.0,114.0,125.0,11.0,415,113.08888888888889,,
2023-11-20,6922,609000,78294000,126.0,136.0,124.5,127.0,2.0,470,117.72592592592592,,
2023-11-21,6922,384000,48657000,125.5,135.0,122.0,127.0,0.0,315,120.81728395061728,,
2023-11-22,6922,189000,23556500,127.0,127.0,123.0,125.0,-2.0,157,122.21152263374485,113.65,
2023-11-23,6922,116000,14484000,125.5,128.0,123.0,123.0,-2.0,115,122.47434842249656,115.35000000000001,
2023-11-24,6922,117000,14192500,124.0,124.5,120.0,121.0,-2.0,93,121.98289894833104,116.37727272727274,
2023-11-27,6922,105000,12647500,121.0,122.5,119.0,119.0,-2.0,89,120.98859929888737,116.85413223140498,
2023-11-28,6922,81000,9769500,120.0,123.5,118.0,121.5,2.5,68,121.15906619925825,117.69883546205861,
2023-11-29,6922,42000,5106000,123.0,123.0,120.5,121.5,0.0,33,121.2727107995055,118.38995628713886,
2023-11-30,6922,59000,7085500,121.0,121.5,119.0,119.5,-2.0,49,120.68180719967033,118.59178241674998,
2023-12-01,6922,408000,52858500,120.5,131.0,120.5,131.0,11.5,244,124.12120479978022,120.84782197734089,
2023-12-04,6922,310000,39466500,133.0,133.5,124.0,125.0,-6.0,257,124.4141365331868,121.60276343600619,
2023-12-05,6922,150000,18085000,124.0,124.0,118.5,121.0,-4.0,127,123.27609102212453,121.49317008400506,
2023-12-06,6922,85000,10504500,120.5,125.5,120.0,123.5,2.5,63,123.35072734808303,121.85804825054959,
2023-12-07,6922,62000,7560500,123.5,123.5,120.5,122.0,-1.5,51,122.90048489872201,121.88385765954057,
2023-12-08,6922,65000,7847000,123.0,123.0,119.0,121.0,-1.0,57,122.26698993248134,121.72315626689682,118.43181818181819
