date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2008-01-02,3252,1944000,24028100,12.4,12.8,11.75,12.1,-0.4,464
2008-01-03,3252,1648000,19509200,11.6,12.0,11.55,11.6,-0.5,296
2008-01-04,3252,862000,9785300,11.6,11.7,11.25,11.3,-0.3,457
2008-01-07,3252,623000,6632300,11.0,11.0,10.55,10.55,-0.75,182
2008-01-08,3252,3948000,41526250,10.55,11.0,10.05,10.5,-0.05,303
2008-01-09,3252,495000,5216450,10.4,10.75,10.3,10.5,0.0,160
2008-01-10,3252,346000,3676950,10.7,10.75,10.55,10.6,0.1,116
2008-01-11,3252,544000,5775250,10.7,10.7,10.5,10.6,0.0,122
2008-01-14,3252,326000,3441650,10.5,10.75,10.5,10.5,-0.1,92
2008-01-15,3252,537000,5941600,11.2,11.2,10.8,10.8,0.3,144
2008-01-16,3252,368000,3940750,10.7,10.95,10.6,10.6,-0.2,112
2008-01-17,3252,1145000,12873100,11.3,11.3,11.05,11.3,0.7,431
2008-01-18,3252,1753000,20823900,11.35,12.05,11.35,11.8,0.5,590
2008-01-21,3252,669000,7888650,11.95,12.1,11.6,11.7,-0.1,240
2008-01-22,3252,755000,8365600,11.1,11.5,10.9,11.35,-0.35,189
2008-01-23,3252,626000,6899050,11.35,11.6,10.6,10.6,-0.75,195
2008-01-24,3252,663000,7102250,11.1,11.1,10.5,10.5,-0.1,194
2008-01-25,3252,456000,4843300,10.5,10.95,10.5,10.95,0.45,122
2008-01-28,3252,176000,1851000,10.95,10.95,10.4,10.4,-0.55,59
2008-01-29,3252,256000,2644300,10.5,10.9,10.15,10.2,-0.2,89
2008-01-30,3252,210000,2130400,10.35,10.6,10.0,10.0,-0.2,91
2008-01-31,3252,197000,2008670,9.9,10.5,9.8,10.5,0.5,73
2008-02-01,3252,100000,1026450,10.5,10.5,10.15,10.2,-0.3,53
2008-02-12,3252,325000,3134860,9.55,10.15,9.49,10.15,-0.05,128
2008-02-13,3252,75000,743370,9.81,10.1,9.81,9.83,-0.32,42
2008-02-14,3252,218000,2168070,9.6,10.1,9.6,10.0,0.17,74
2008-02-15,3252,107000,1055600,9.91,10.0,9.73,9.8,-0.2,44
2008-02-18,3252,85000,842470,9.98,10.0,9.83,9.85,0.05,49
2008-02-19,3252,205000,2057350,9.85,10.2,9.85,10.05,0.2,86
2008-02-20,3252,353000,3608150,10.05,10.5,10.05,10.05,0.0,157
2008-02-21,3252,304000,3076000,10.1,10.35,10.0,10.0,-0.05,113
2008-02-22,3252,308000,3079170,10.0,10.15,9.93,10.0,0.0,111
2008-02-25,3252,355000,3534900,10.0,10.1,9.83,10.1,0.1,124
2008-02-26,3252,514000,5229400,10.1,10.35,10.0,10.15,0.05,172
2008-02-27,3252,586000,6018100,10.3,10.55,10.05,10.55,0.4,183
2008-02-29,3252,1359000,15151850,10.5,11.25,10.5,11.25,0.7,233
2008-03-03,3252,1903000,22389400,11.8,12.0,11.5,11.5,0.25,578
2008-03-04,3252,1131000,13118700,11.8,11.95,11.3,11.95,0.45,295
2008-03-05,3252,1352000,15850850,11.85,11.95,11.4,11.95,0.0,248
2008-03-06,3252,1192000,14234650,12.0,12.25,11.7,12.05,0.1,384
2008-03-07,3252,404000,4747300,11.7,12.0,11.45,11.45,-0.6,163
2008-03-10,3252,1201000,12824600,10.65,10.95,10.65,10.65,-0.8,332
2008-03-11,3252,1050000,10583700,10.0,10.25,9.95,10.15,-0.5,331
2008-03-12,3252,541000,5515200,10.4,10.45,10.0,10.05,-0.1,214
2008-03-13,3252,224000,2251430,10.05,10.3,9.85,9.85,-0.2,87
2008-03-14,3252,245000,2433680,10.0,10.15,9.85,9.85,0.0,91
2008-03-17,3252,171000,1657160,9.85,9.85,9.51,9.52,-0.33,77
2008-03-18,3252,223000,2122280,9.52,9.7,9.47,9.53,0.01,90
2008-03-19,3252,174000,1687750,9.73,9.78,9.61,9.63,0.1,74
2008-03-20,3252,170000,1634650,9.8,9.8,9.55,9.57,-0.06,68
2008-03-21,3252,203000,1967950,9.62,9.8,9.62,9.65,0.08,95
2008-03-24,3252,386000,3827300,10.2,10.2,9.7,9.7,0.05,128
2008-03-25,3252,177000,1748390,9.8,10.0,9.77,9.88,0.18,80
2008-03-26,3252,346000,3476780,9.95,10.2,9.88,9.88,0.0,106
2008-03-27,3252,253000,2474350,9.88,9.9,9.7,9.71,-0.17,73
2008-03-28,3252,225000,2192280,9.84,9.88,9.7,9.8,0.09,82
2008-03-31,3252,292000,2878910,9.8,10.0,9.75,9.8,0.0,106
2008-04-01,3252,563000,5625550,10.0,10.2,9.8,9.8,0.0,164
2008-04-02,3252,233000,2313780,9.98,10.1,9.84,9.89,0.09,96
2008-04-03,3252,385000,3866490,10.2,10.2,9.96,10.0,0.11,148
2008-04-07,3252,356000,3555350,10.0,10.1,9.91,9.91,-0.09,102
2008-04-08,3252,302000,2995320,9.91,10.0,9.73,9.73,-0.18,86
2008-04-09,3252,1093000,10097350,9.7,9.79,9.05,9.7,-0.03,417
2008-04-10,3252,333000,3182680,9.6,9.65,9.5,9.55,-0.15,139
2008-04-11,3252,517000,4825680,9.5,9.55,9.24,9.29,-0.26,183
2008-04-14,3252,415000,3754840,9.1,9.2,9.0,9.03,-0.26,163
2008-04-15,3252,1910000,17893220,9.03,9.66,8.98,9.66,0.63,287
2008-04-16,3252,1056000,10479720,10.25,10.25,9.6,9.6,-0.06,337
2008-04-17,3252,1209000,11379230,9.65,9.65,9.1,9.13,-0.47,433
2008-04-18,3252,3356000,28807690,9.08,9.08,8.5,8.5,-0.63,809
2008-04-21,3252,922000,7320590,7.92,8.1,7.91,7.91,-0.59,227
2008-04-22,3252,422000,3105920,7.36,7.36,7.36,7.36,-0.55,123
2008-04-23,3252,562000,3849700,6.85,6.85,6.85,6.85,-0.51,136
2008-04-24,3252,10335000,69557320,6.38,7.15,6.38,6.9,0.05,1809
2008-04-25,3252,4891000,35216510,6.96,7.38,6.96,7.12,0.22,960
2008-04-28,3252,2317000,16315570,7.17,7.22,6.9,6.91,-0.21,503
2008-04-29,3252,1776000,12272690,6.91,7.0,6.82,6.82,-0.09,401
2008-04-30,3252,1396000,8937080,6.5,6.62,6.35,6.35,-0.47,310
2008-05-02,3252,277000,1637070,5.91,5.91,5.91,5.91,-0.44,51
2008-05-05,3252,52000,286000,5.5,5.5,5.5,5.5,-0.41,27
2008-05-06,3252,1000,5120,5.12,5.12,5.12,5.12,-0.38,1
2008-05-07,3252,8000,38160,4.77,4.77,4.77,4.77,-0.35,2
2008-05-08,3252,11000,48840,4.44,4.44,4.44,4.44,-0.33,2
2008-05-09,3252,6000,24780,4.13,4.13,4.13,4.13,-0.31,6
2008-05-12,3252,3000,11550,3.85,3.85,3.85,3.85,-0.28,3
2008-05-13,3252,22000,78980,3.59,3.59,3.59,3.59,-0.26,7
2008-05-14,3252,34000,113560,3.34,3.34,3.34,3.34,-0.25,11
2008-05-15,3252,50000,155500,3.11,3.11,3.11,3.11,-0.23,11
2008-05-16,3252,10000,29000,2.9,2.9,2.9,2.9,-0.21,1
2008-05-19,3252,6000,16200,2.7,2.7,2.7,2.7,-0.2,2
2008-05-20,3252,1921000,5000040,2.52,2.88,2.52,2.88,0.18,304
2008-05-21,3252,300000,924000,3.08,3.08,3.08,3.08,0.2,40
2008-05-22,3252,156000,513240,3.29,3.29,3.29,3.29,0.21,45
2008-05-23,3252,913000,3210880,3.52,3.52,3.49,3.49,0.2,197
2008-05-26,3252,445000,1446250,3.25,3.25,3.25,3.25,-0.24,53
2008-05-27,3252,605000,1838870,3.03,3.1,3.03,3.03,-0.22,83
2008-05-28,3252,239000,692780,2.88,3.0,2.84,3.0,-0.03,43
2008-05-29,3252,277000,822400,3.0,3.0,2.8,2.8,-0.2,46
2008-05-30,3252,181000,475880,2.68,2.68,2.61,2.61,-0.19,16
2008-06-02,3252,133000,323190,2.43,2.43,2.43,2.43,-0.18,21
2008-06-03,3252,158000,357080,2.26,2.26,2.26,2.26,-0.17,22
2008-06-04,3252,116000,244760,2.11,2.11,2.11,2.11,-0.15,22
2008-06-05,3252,196000,386120,1.97,1.97,1.97,1.97,-0.14,14
2008-06-06,3252,133000,265610,1.87,2.1,1.87,2.1,0.13,30
2008-06-09,3252,190000,425200,2.22,2.24,2.22,2.24,0.14,35
2008-06-10,3252,154000,368060,2.39,2.39,2.39,2.39,0.15,24
2008-06-11,3252,219000,540630,2.51,2.51,2.23,2.23,-0.16,46
2008-06-12,3252,55000,114400,2.08,2.08,2.08,2.08,-0.15,11
2008-06-13,3252,373000,729000,1.96,1.96,1.94,1.94,-0.14,59
2008-06-16,3252,225000,417360,1.87,2.0,1.81,1.81,-0.13,30
2008-06-17,3252,230000,398820,1.69,1.89,1.69,1.89,0.08,40
2008-06-18,3252,49000,96750,1.9,2.0,1.9,2.0,0.11,6
2008-06-19,3252,41000,76810,1.9,1.93,1.86,1.86,-0.14,14
2008-06-20,3252,142000,271210,1.97,1.99,1.74,1.74,-0.12,29
2008-06-23,3252,320000,518400,1.62,1.62,1.62,1.62,-0.12,26
2008-06-24,3252,206000,353480,1.55,1.73,1.55,1.73,0.11,36
2008-06-25,3252,265000,428000,1.62,1.62,1.61,1.61,-0.12,25
2008-06-26,3252,264000,412090,1.6,1.6,1.51,1.51,-0.1,36
2008-06-27,3252,381000,538120,1.41,1.42,1.41,1.42,-0.09,41
2008-06-30,3252,169000,237740,1.45,1.45,1.37,1.4,-0.02,36
2008-07-01,3252,649000,851860,1.32,1.33,1.31,1.31,-0.09,54
2008-07-02,3252,165000,219930,1.24,1.39,1.24,1.31,0.0,25
2008-07-03,3252,280000,362020,1.23,1.39,1.23,1.39,0.08,26
2008-07-04,3252,129000,188700,1.46,1.48,1.35,1.48,0.09,30
2008-07-07,3252,33000,52140,1.58,1.58,1.58,1.58,0.1,7
2008-07-08,3252,212000,358280,1.69,1.69,1.69,1.69,0.11,29
2008-07-09,3252,109000,196200,1.8,1.8,1.8,1.8,0.11,20
2008-07-10,3252,109000,209280,1.92,1.92,1.92,1.92,0.12,16
2008-07-11,3252,25000,51250,2.05,2.05,2.05,2.05,0.13,6
2008-07-14,3252,56000,122640,2.19,2.19,2.19,2.19,0.14,10
2008-07-15,3252,338000,739610,2.34,2.34,2.04,2.04,-0.15,41
2008-07-16,3252,313000,609000,1.9,2.04,1.9,1.9,-0.14,39
2008-07-17,3252,177000,313840,1.78,1.78,1.77,1.78,-0.12,19
2008-07-18,3252,71000,117870,1.66,1.67,1.66,1.66,-0.12,15
2008-07-21,3252,262000,406480,1.56,1.56,1.55,1.55,-0.11,21
2008-07-22,3252,111000,165550,1.49,1.5,1.49,1.5,-0.05,20
