date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2012-03-23,1591,1140000,45749100,39.5,41.0,38.8,40.7,12.7,731,,,,,
2012-03-26,1591,633000,25164700,40.7,41.0,38.1,38.1,-2.6,364,,,,,
2012-03-27,1591,410000,14877400,38.1,38.1,35.0,36.0,-2.1,261,,,,,
2012-03-28,1591,244000,8954450,36.75,37.55,35.5,36.9,0.9,159,,,,,
2012-03-29,1591,173000,6229500,36.9,36.9,35.5,35.5,-1.4,115,37.440000000000005,,,,
2012-03-30,1591,139000,4975700,36.0,36.9,35.5,35.55,0.05,76,36.81,,,,
2012-04-02,1591,114000,3921450,35.0,35.0,33.15,34.4,-1.15,79,36.00666666666667,,,,
2012-04-03,1591,96000,3212500,34.6,34.6,32.6,32.6,-1.8,72,34.87111111111111,,,,
2012-04-05,1591,117000,3643200,32.0,32.0,30.6,31.0,-1.6,62,33.580740740740744,,,,
2012-04-06,1591,107000,3538850,32.0,33.15,31.5,33.15,2.15,56,33.437160493827164,35.39,,,
2012-04-09,1591,69000,2236750,32.5,32.8,32.0,32.05,-1.1,35,32.97477366255144,34.78272727272727,,,
2012-04-10,1591,22000,720600,32.55,33.65,32.55,32.9,0.85,17,32.94984910836763,34.440413223140496,,,
2012-04-11,1591,38000,1213550,32.0,32.2,31.7,32.2,-0.7,22,32.69989940557842,34.03306536438768,,,
2012-04-12,1591,67000,2198000,32.0,33.5,31.6,33.0,0.8,49,32.79993293705228,33.84523529813538,,,
2012-04-13,1591,47000,1548600,33.3,33.3,32.3,33.0,0.0,34,32.866621958034855,33.69155615301985,,,
2012-04-16,1591,24000,766600,32.15,32.5,31.65,32.5,-0.5,17,32.7444146386899,33.47490957974352,,,
2012-04-17,1591,7000,224550,32.4,32.5,31.3,31.3,-1.2,7,32.262943092459935,33.079471474335605,,,
2012-04-18,1591,37000,1174050,32.0,32.0,31.35,31.4,0.1,13,31.97529539497329,32.774113024456405,,,
2012-04-19,1591,54000,1678400,31.6,31.6,30.5,30.75,-0.65,33,31.56686359664886,32.40609247455524,,,
2012-04-20,1591,66000,2023950,30.5,31.05,30.0,30.2,-0.55,32,31.111242397765906,32.00498475190883,,,
2012-04-23,1591,37000,1110000,30.5,30.5,29.5,29.95,-0.25,16,30.724161598510605,31.631351160652677,,,
2012-04-24,1591,44000,1306700,30.0,30.2,29.2,30.2,0.25,18,30.549441065673737,31.371105495079462,33.33409090909091,,
2012-04-25,1591,35000,1062900,30.2,31.0,30.2,30.5,0.3,9,30.532960710449156,31.212722677792286,33.087648221343876,,
2012-04-26,1591,13000,398200,30.8,30.8,30.5,30.5,0.0,5,30.521973806966106,31.083136736375508,32.86263533253137,,
2012-04-27,1591,21000,635100,30.4,30.7,30.0,30.7,0.2,13,30.581315871310736,31.013475511579962,32.674580086224296,,
2012-04-30,1591,92000,2853000,28.6,31.5,28.6,31.0,0.3,35,30.72087724754049,31.011025418565424,32.52896442655262,,
2012-05-02,1591,42000,1337450,31.5,32.55,31.5,31.6,0.6,17,31.013918165026993,31.118111706098983,32.448184911200215,,
2012-05-03,1591,47000,1500700,32.0,32.5,31.5,31.7,0.1,12,31.242612110017994,31.22390957771735,32.38312535370454,,
2012-05-04,1591,127000,4168800,32.0,33.45,32.0,32.9,1.2,49,31.795074740011994,31.52865329085965,32.428070975121535,,
2012-05-07,1591,34000,1104600,32.6,32.6,32.0,32.5,-0.4,17,32.03004982667466,31.705261783430625,32.43432567293706,,
2012-05-08,1591,29000,939700,32.5,32.7,32.0,32.6,0.1,13,32.22003321778311,31.867941459170513,32.44873213615992,,
2012-05-09,1591,20000,650000,32.5,32.5,32.5,32.5,-0.1,2,32.31335547852208,31.982861193866782,32.45319021127645,,
2012-05-10,1591,34000,1088300,33.3,33.3,31.1,32.5,0.0,20,32.37557031901472,32.07688643134555,32.45726062768719,,
2012-05-11,1591,9000,293000,32.5,32.8,32.5,32.8,0.3,6,32.51704687934315,32.20836162564636,32.487064051366566,,
2012-05-14,1591,26000,843400,32.5,32.5,32.2,32.4,-0.4,13,32.478031252895434,32.24320496643793,32.479493264291214,,
2012-05-15,1591,9000,288650,32.1,32.1,31.85,31.85,-0.55,6,32.26868750193029,32.17171315435831,32.42475471957024,,
2012-05-16,1591,10000,316550,32.0,32.0,31.1,32.0,0.15,7,32.179125001286856,32.14049258083862,32.38781952656413,,
2012-05-17,1591,27000,869900,32.0,32.5,32.0,32.5,0.5,19,32.28608333419124,32.205857566140686,32.39757435034116,,
2012-05-18,1591,10000,321500,32.5,32.5,31.5,32.0,-0.5,9,32.19072222279416,32.16842891775147,32.363002667702794,,
2012-05-21,1591,34000,1075600,30.85,32.3,30.85,32.0,0.0,24,32.127148148529436,32.137805478160296,32.331437218337335,,
2012-05-22,1591,10000,319800,31.9,32.0,31.9,32.0,0.0,4,32.08476543235296,32.11274993667661,32.30261659065583,,
2012-05-23,1591,24000,757800,31.8,31.8,31.05,31.65,-0.35,11,31.939843621568638,32.02861358455359,32.24586732190315,,
2012-05-24,1591,24000,742250,30.5,31.5,30.5,31.5,-0.15,11,31.79322908104576,31.932502023725664,32.18100929391157,,
2012-05-25,1591,1000,31950,31.95,31.95,31.95,31.95,0.45,1,31.845486054030506,31.93568347395736,32.16092152922361,,
2012-05-28,1591,11000,345850,31.7,31.7,30.95,30.95,-1.0,7,31.546990702687005,31.756468296874203,32.05562400494329,,
2012-05-29,1591,27000,850750,31.5,31.6,31.0,31.6,0.65,15,31.564660468458005,31.72801951562435,32.01600452625257,,
2012-05-30,1591,14000,441500,31.85,31.85,31.0,31.7,0.1,10,31.60977364563867,31.722925058238104,31.988525871795826,,
2012-05-31,1591,3000,94450,31.65,31.7,31.1,31.1,-0.6,3,31.439849097092445,31.60966595674027,31.91126275250923,,
2012-06-01,1591,1000,31050,31.05,31.05,31.05,31.05,-0.05,1,31.30989939806163,31.50790851006022,31.83637033924756,,
2012-06-04,1591,5000,151850,30.5,30.9,29.55,29.55,-1.5,4,30.72326626537442,31.151925144594724,31.637555527139074,,
2012-06-05,1591,13000,393100,31.0,31.0,29.75,29.75,0.2,10,30.39884417691628,30.89702966375932,31.47342026390959,,
2012-06-06,1591,8000,241650,30.8,30.8,29.75,29.75,0.0,5,30.182562784610855,30.68847881580308,31.323557632265278,,
2012-06-07,1591,2000,59200,29.95,29.95,29.25,29.25,-0.5,2,29.871708523073902,30.426937212929793,31.14324827293786,,
2012-06-08,1591,1000,30000,30.0,30.0,30.0,30.0,0.75,1,29.914472348715936,30.349312265124375,31.043835379638917,,
2012-06-11,1591,11000,329600,30.3,30.3,29.5,29.5,-0.5,5,29.77631489914396,30.19489185328358,30.909588824887706,,
2012-06-12,1591,18000,524150,29.5,29.5,28.95,29.0,-0.5,12,29.517543266095974,29.9776387890502,30.743537622723558,,
2012-06-13,1591,8000,232350,29.0,29.2,29.0,29.2,0.2,7,29.41169551073065,29.8362499183138,30.609316959878033,,
2012-06-14,1591,10000,292550,29.0,29.4,29.0,29.0,-0.2,6,29.27446367382043,29.684204478620384,30.469376354671247,,
2012-06-15,1591,7000,206250,29.0,29.85,29.0,29.8,0.8,5,29.44964244921362,29.705258209780315,30.411169715134616,,
2012-06-18,1591,24000,725750,30.0,30.5,30.0,30.4,0.6,15,29.766428299475745,29.831574898911168,30.410198435557692,,
2012-06-19,1591,72000,2230100,30.5,31.0,30.3,30.3,-0.1,7,29.94428553298383,29.916743099109137,30.400615962900503,,
2012-06-20,1591,25000,755800,30.3,30.6,30.0,30.0,-0.3,17,29.96285702198922,29.93188071745293,30.3657797922135,,
2012-06-21,1591,6000,180800,30.3,30.3,30.1,30.1,0.1,2,30.008571347992813,29.962447859734215,30.342668505934068,,
2012-06-22,1591,4000,120050,30.0,30.05,30.0,30.05,-0.05,3,30.022380898661876,29.97836643069163,30.317219070635453,,
2012-06-25,1591,4000,120400,30.1,30.1,30.1,30.1,0.05,3,30.048253932441252,30.000481625111334,30.298330455797586,,
2012-06-26,1591,10000,300150,30.0,30.05,30.0,30.0,-0.1,8,30.032169288294167,30.000394056909272,30.27238867703258,31.775000000000002,
2012-06-27,1591,36000,1082300,30.2,30.4,30.0,30.4,0.4,12,30.154779525529445,30.073049682925767,30.283485313812356,31.7339552238806,
2012-06-28,1591,34000,1036800,30.5,30.95,30.1,30.1,-0.3,13,30.1365196836863,30.077949740575626,30.26753006913302,31.68518044107819,
2012-06-29,1591,35000,1064200,30.5,30.6,30.2,30.6,0.5,12,30.29101312245753,30.172867969561874,30.29644049790406,31.652786995075857,
2012-07-02,1591,26000,801050,30.8,30.9,30.75,30.75,0.15,11,30.44400874830502,30.27780106600517,30.335880454608056,31.625838129551205,
2012-07-03,1591,26000,803600,30.95,31.0,30.65,31.0,0.25,13,30.62933916553668,30.40910996309514,30.39362998029431,31.60715639434072,
2012-07-04,1591,37000,1165400,31.8,31.8,31.2,31.2,0.2,8,30.81955944369112,30.552908151623296,30.46374911244263,31.595002472121593,
2012-07-05,1591,28000,880100,31.5,31.5,31.0,31.5,0.3,15,31.046372962460747,30.72510666950997,30.553857885273707,31.592166577431396,
2012-07-06,1591,65000,2035400,31.3,31.8,30.35,31.8,0.3,39,31.29758197497383,30.920541820508156,30.66221806916295,31.59837056019464,
