date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2009-11-24,3169,3366000,165291400,46.0,51.0,45.6,50.5,19.5,2084,,,,,
2009-11-25,3169,1437000,70363050,50.5,50.5,48.0,48.3,-2.2,882,,,,,
2009-11-26,3169,1321000,64564000,48.3,49.5,48.1,49.0,0.7,721,,,,,
2009-11-27,3169,743000,35862300,48.3,48.8,47.5,47.6,-1.4,460,,,,,
2009-11-30,3169,1816000,90110150,48.15,50.2,48.1,50.0,2.4,870,49.08,,,,
2009-12-01,3169,2848000,151223800,51.0,53.5,51.0,53.5,3.5,1219,50.553333333333335,,,,
2009-12-02,3169,2511000,134638000,55.8,55.8,51.8,53.8,0.3,1283,51.635555555555555,,,,
2009-12-03,3169,1109000,59232700,54.0,54.5,52.6,53.5,-0.3,613,52.25703703703704,,,,
2009-12-04,3169,1668000,92855100,54.0,56.9,53.5,56.0,2.5,893,53.504691358024694,,,,
2009-12-07,3169,1016000,56494200,56.0,56.9,54.8,54.9,-1.1,668,53.96979423868313,51.71,,,
2009-12-08,3169,1225000,64983400,55.1,55.1,52.0,52.0,-2.9,745,53.313196159122086,51.762727272727275,,,
2009-12-09,3169,1628000,88899200,52.3,55.5,52.3,55.0,3.0,851,53.87546410608139,52.35132231404959,,,
2009-12-10,3169,1201000,66310200,55.9,56.2,53.5,53.9,-1.1,640,53.88364273738759,52.63290007513148,,,
2009-12-11,3169,2424000,138128300,54.7,57.6,54.7,57.6,3.7,822,55.12242849159173,53.5360091523803,,,
2009-12-14,3169,3999000,243998400,59.3,61.6,59.0,61.6,4.0,1583,57.281618994394485,55.00218930649297,,,
2009-12-15,3169,2349000,143531700,63.0,63.0,59.5,60.5,-1.1,1241,58.354412662929654,56.00179125076698,,,
2009-12-16,3169,2254000,141596500,61.0,64.0,60.9,64.0,3.5,1170,60.23627510861977,57.4560110233548,,,
2009-12-17,3169,2117000,135218200,66.9,66.9,61.2,62.7,-1.3,1209,61.05751673907985,58.40946356456302,,,
2009-12-18,3169,1176000,71700500,61.5,62.2,60.0,61.3,-1.4,682,61.1383444927199,58.93501564373338,,,
2009-12-21,3169,1212000,73937500,61.2,62.5,60.0,62.5,1.2,733,61.59222966181327,59.583194617600036,,,
2009-12-22,3169,2660000,170099800,62.9,64.6,62.5,64.5,2.0,1285,62.56148644120885,60.47715923258185,,,
2009-12-23,3169,1471000,94593700,64.5,65.8,63.3,65.5,1.0,859,63.5409909608059,61.390403008476056,56.28181818181818,,
2009-12-24,3169,1677000,107214700,65.3,65.3,63.0,63.2,-2.3,1030,63.42732730720393,61.71942064329859,56.883399209486164,,
2009-12-25,3169,1277000,81242100,63.5,64.2,62.8,64.0,0.8,652,63.61821820480262,62.13407143542612,57.50223406083519,,
2009-12-28,3169,4435000,298978300,65.0,68.4,65.0,68.4,4.4,2204,65.21214546986842,63.273331174439555,58.449865881632135,,
2009-12-29,3169,3458000,247409100,70.9,73.1,69.2,73.1,4.7,1919,67.84143031324561,65.05999823363236,59.72379058757716,,
2009-12-30,3169,2191000,159787800,74.0,74.2,71.0,73.3,0.2,1445,69.66095354216374,66.55818037297193,60.9043305364835,,
2009-12-31,3169,2252000,162408700,71.4,74.0,70.0,73.9,0.6,1364,71.07396902810916,67.89305666879523,62.03438875070233,,
2010-01-04,3169,1473000,105614900,73.6,73.6,70.9,70.9,-3.0,953,71.01597935207278,68.43977363810518,62.805311468032556,,
2010-01-05,3169,2122000,144577500,71.0,71.7,66.3,66.8,-4.1,1326,69.61065290138185,68.14163297663151,63.15267568820364,,
2010-01-06,3169,1809000,118871000,65.2,67.9,64.2,64.9,-1.9,1169,68.04043526758791,67.55224516269851,63.30461693270767,,
2010-01-07,3169,2099000,129886300,64.9,64.9,60.4,60.5,-4.4,1245,65.5269568450586,66.2700187694806,63.060737199428736,,
2010-01-08,3169,1892000,109940600,59.5,61.0,56.4,60.9,0.4,1208,63.984637896705735,65.29365172048412,62.87284700817406,,
2010-01-11,3169,1130000,67111900,59.9,60.3,58.9,59.2,-1.7,706,62.38975859780383,64.18571504403246,62.55346900746328,,
2010-01-12,3169,840000,50059200,58.7,60.9,57.6,60.0,0.8,669,61.593172398535884,63.42467594511747,62.3314282242056,,
2010-01-13,3169,795000,47300300,59.5,60.9,58.7,58.8,-1.2,546,60.662114932357255,62.58382577327793,62.024347509057286,,
2010-01-14,3169,1647000,102045100,59.5,62.9,59.0,62.9,4.1,1018,61.4080766215715,62.64131199631831,62.10049120392187,,
2010-01-15,3169,3129000,208890100,64.9,67.3,64.3,67.3,4.4,1683,63.372051081047665,63.48834617880589,62.552622403580834,,
2010-01-18,3169,2046000,138234900,66.8,68.8,66.3,66.6,-0.7,1166,64.44803405403178,64.054101419023,62.904568281530324,,
2010-01-19,3169,1638000,105573000,66.6,67.7,62.9,63.3,-3.3,988,64.06535603602119,63.91699207010973,62.938953648353774,,
2010-01-20,3169,791000,50522100,65.3,65.3,63.2,63.4,0.1,520,63.84357069068079,63.82299351190796,62.97904463545345,,
2010-01-21,3169,600000,37447700,62.9,64.5,60.6,61.5,-1.9,426,63.06238046045386,63.40063105519742,62.85043205845749,,
2010-01-22,3169,782000,48187100,60.1,63.5,60.0,62.9,1.4,507,63.00825364030257,63.30960722697971,62.8547423142438,,
2010-01-25,3169,896000,55442000,62.5,63.5,60.5,60.5,-2.4,594,62.17216909353505,62.798769549347035,62.64998211300521,,
2010-01-26,3169,986000,57486000,61.5,61.6,56.3,56.4,-4.1,650,60.24811272902336,61.63535690401121,62.10650540752649,,
2010-01-27,3169,722000,40656000,57.1,57.8,54.0,54.0,-2.4,478,58.16540848601557,60.24711019419099,61.40159189382854,,
2010-01-28,3169,641000,35675100,54.8,56.5,54.7,56.5,2.5,411,57.61027232401038,59.56581743161081,60.97536651175649,,
2010-01-29,3169,443000,24106200,55.1,55.4,53.0,54.6,-1.9,297,56.606848216006924,58.6629415349543,60.42098681508201,,
2010-02-01,3169,364000,20063900,54.0,56.0,54.0,55.0,0.4,214,56.07123214400462,57.99695216496261,59.94959665724879,,
2010-02-02,3169,451000,24811900,56.0,56.4,53.0,53.0,-2.0,241,55.04748809600308,57.08841540769668,59.34528390444455,,
2010-02-03,3169,374000,20247500,54.8,54.8,53.1,54.0,1.0,256,54.69832539733539,56.52688533357001,58.88047660840589,,
2010-02-04,3169,197000,10738700,54.0,55.0,54.0,54.2,0.2,159,54.532216931556924,56.10381527292092,58.47347864245756,,
2010-02-05,3169,677000,34729200,53.1,53.1,50.5,50.5,-3.7,393,53.18814462103795,55.08493976875348,57.7801326735482,,
2010-02-06,3169,378000,18627700,50.5,51.5,47.2,48.0,-2.5,245,51.458763080691966,53.796768901707395,56.92968635410923,,
2010-02-08,3169,294000,14750700,48.8,50.9,48.6,50.1,2.1,202,51.005842053794645,53.12462910139696,56.335800584186686,,
2010-02-09,3169,317000,16452100,50.3,52.9,50.0,52.9,2.8,209,51.637228035863096,53.08378744659751,56.03703531599654,,
2010-02-10,3169,511000,27242800,53.7,54.3,52.2,52.4,-0.5,337,51.89148535724206,52.95946245630706,55.7207713754751,,
2010-02-22,3169,252000,13351700,53.9,53.9,52.5,52.5,0.1,166,52.094323571494705,52.87592382788759,55.440704299346834,,
2010-02-23,3169,143000,7514300,53.0,53.4,52.0,52.6,0.1,100,52.26288238099647,52.82575585918075,55.19368653418624,,
2010-02-24,3169,190000,9937100,51.5,52.9,51.5,51.9,-0.7,150,52.141921587330984,52.657436612056976,54.907279009474394,,
2010-02-25,3169,371000,19442600,52.4,53.2,51.9,52.0,0.1,237,52.09461439155399,52.53790268259207,54.654472139085314,,
2010-02-26,3169,244000,12565100,52.6,52.9,50.4,51.0,-1.0,180,51.72974292770266,52.25828401302987,54.336691953077896,,
2010-03-01,3169,338000,17455200,51.1,52.7,50.7,52.7,1.7,254,52.053161951801776,52.33859601066081,54.19437091367982,,
2010-03-02,3169,1296000,72125600,53.0,56.3,53.0,56.3,3.6,839,53.46877463453452,53.058851281449755,54.37746909509897,,
2010-03-03,3169,909000,51064500,56.3,57.3,55.2,55.8,-0.5,593,54.24584975635634,53.5572419575498,54.50116743465558,,
2010-03-04,3169,731000,40059200,55.8,56.3,53.8,54.1,-1.7,493,54.19723317090423,53.65592523799529,54.46628330990292,58.10606060606062,
2010-03-05,3169,541000,29470900,54.5,55.2,53.2,54.1,0.0,382,54.164822113936154,53.73666610381433,54.434432587302666,57.98647670737225,
2010-03-08,3169,580000,31804200,54.7,55.2,54.2,55.0,0.9,361,54.4432147426241,53.96636317584809,54.483612362319825,57.897328148943224,
2010-03-09,3169,457000,24706500,54.5,54.8,53.5,54.2,-0.8,315,54.3621431617494,54.00884259842116,54.458950417770275,57.78696014449716,
2010-03-10,3169,390000,21281200,54.2,55.2,54.2,54.2,0.0,296,54.308095441166266,54.04359848961732,54.43643299013808,57.67988670734799,
2010-03-11,3169,392000,21271800,54.8,55.0,53.6,53.6,-0.6,258,54.07206362744418,53.96294421877781,54.36369968664781,57.55809904444208,
2010-03-12,3169,364000,19653000,54.0,54.7,53.2,54.1,0.5,243,54.08137575162945,53.9878634517273,54.34076927911322,57.45487220729456,
2010-03-15,3169,1410000,79366900,54.3,57.8,54.3,56.3,2.2,939,54.82091716775297,54.40825191504961,54.511137167885984,57.420398410061885,
2010-03-16,3169,2356000,138241400,58.5,59.8,57.5,59.8,3.5,1408,56.48061144516864,55.38856974867696,54.97103828372199,57.491431293343624,
2010-03-17,3169,1276000,75814700,59.8,60.3,58.5,59.1,-0.7,837,57.35374096344576,56.06337524891751,55.33007843296355,57.539448269661726,
2010-03-18,3169,1267000,76052200,59.8,61.2,58.6,59.7,0.6,768,58.13582730896384,56.724579749114326,55.71007161270585,57.60394235116436,
2010-03-19,3169,1435000,87381000,59.7,62.8,59.1,62.2,2.5,869,59.49055153930923,57.720110703820815,56.274413211600994,57.741138101875876,
2010-03-22,3169,1006000,61436400,61.9,61.9,60.0,61.1,-1.1,648,60.027034359539485,58.33463603039885,56.694029454070474,57.84140263614824,
2010-03-23,3169,1258000,75497400,61.3,61.7,58.8,59.0,-2.1,853,59.684689573026326,58.455611297599056,56.894548631977386,57.87598763208411,
2010-03-24,3169,811000,47816200,59.7,60.2,58.0,58.0,-1.0,535,59.12312638201755,58.37277287985377,56.9906748378924,57.87968949381295,
2010-03-25,3169,1444000,86787100,57.8,61.5,57.6,59.3,1.3,898,59.182084254678365,58.541359628971264,57.19148572155393,57.922086822355844,
2010-03-26,3169,1394000,84392800,58.6,61.5,58.6,60.9,1.6,813,59.754722836452245,58.97020333279467,57.5139652240275,58.01097975303179,
2010-03-29,3169,2211000,141781100,62.1,65.1,62.0,65.1,4.2,1110,61.53648189096816,60.08471181774109,58.17362042193815,58.222592297717405,
2010-03-30,3169,2344000,150703900,65.8,65.8,63.0,64.0,-1.1,1377,62.35765459397877,60.79658239633362,58.68026212437832,58.39505222912882,
2010-03-31,3169,1028000,65297600,64.0,64.6,62.6,62.8,-1.2,635,62.505103062652516,61.16084014245478,59.03850020051933,58.52654320736378,
2010-04-01,3169,1704000,109238000,62.7,65.2,62.7,64.4,1.6,977,63.13673537510168,61.74977829837209,59.504717574387215,58.70187027580068,
2010-04-02,3169,2085000,138686100,65.0,67.8,64.8,65.9,1.5,1197,64.05782358340112,62.50436406230444,60.060829089657894,58.91673981980663,
2010-04-06,3169,1168000,75499000,66.3,66.4,63.3,63.8,-2.1,739,63.97188238893408,62.73993423279454,60.385974386209384,59.062508780409416,
2010-04-07,3169,644000,41058500,64.0,64.5,63.2,63.7,-0.1,431,63.88125492595605,62.91449164501371,60.674150526539,59.20094135412854,
2010-04-08,3169,1323000,84011500,65.0,65.0,61.3,61.9,-1.8,751,63.22083661730403,62.73003861864758,60.780746132926915,59.281510268930674,
2010-04-09,3169,1236000,74958100,61.5,61.6,60.0,60.5,-1.4,757,62.31389107820269,62.32457705162075,60.75633342571588,59.31788309672379,
2010-04-12,3169,1056000,63864400,61.1,61.8,59.9,60.2,-0.3,756,61.60926071880179,61.93829031496243,60.70795660608841,59.34421494458278,
2010-04-13,3169,779000,46407300,60.0,61.0,58.5,58.8,-1.4,571,60.67284047920119,61.36769207587835,60.542047335993765,59.32796972235643,
2010-04-14,3169,353000,21143100,59.8,60.5,59.3,60.5,1.7,276,60.615226986134125,61.209929880264106,60.53839104590735,59.36295570079355,
2010-04-15,3169,741000,44468700,61.0,61.1,59.0,59.8,-0.7,412,60.34348465742275,60.953578992943356,60.47418312887193,59.376001799277326,
2010-04-16,3169,386000,22970500,59.8,59.8,59.1,59.7,-0.1,238,60.12898977161517,60.72565553968093,60.40686285679611,59.3856733873586,
2010-04-19,3169,762000,43706500,58.8,59.5,55.6,56.2,-3.5,459,58.819326514410115,59.90280907792076,60.041048695335576,59.29057865937775,
2010-04-20,3169,352000,19985300,57.0,57.5,56.0,57.2,1.0,249,58.27955100960674,59.41138924557153,59.7940009826977,59.228173326261995,
2010-04-21,3169,374000,21853100,57.6,58.9,57.6,58.7,1.5,250,58.41970067307116,59.2820457463767,59.69887046246312,59.21240695831388,
2010-04-22,3169,344000,20199000,58.7,60.0,57.8,59.6,0.9,231,58.813133782047444,59.33985561067185,59.69027303094459,59.223976899856744,
2010-04-23,3169,302000,17910200,59.8,60.0,58.8,58.9,-0.7,214,58.84208918803163,59.259881863276966,59.62155363694941,59.214305947622215,
2010-04-26,3169,258000,15271800,59.3,59.6,58.8,59.1,0.2,185,58.928059458687756,59.230812433590245,59.576201146779894,59.21089382978275,
2010-04-27,3169,355000,20567800,59.2,59.2,57.4,57.7,-1.4,271,58.51870630579184,58.9524829002102,59.41305322097295,59.16579252143102,
2010-04-28,3169,467000,26035500,53.8,56.7,53.8,56.2,-1.5,310,57.745804203861226,58.452031463808346,59.13365728871443,59.077261401388306,
2010-04-29,3169,281000,15930400,56.3,57.9,56.1,56.5,0.3,178,57.33053613590749,58.09711665220683,58.90464361143491,59.00032822522746,
2010-04-30,3169,443000,24702200,56.9,56.9,54.8,54.9,-1.6,246,56.52035742393832,57.51582271544195,58.556413732179706,58.87793036775798,
