date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema
2023-10-27,6856,1314000,92264400,68.5,72.0,67.2,72.0,7.0,712,,,
2023-10-30,6856,1509000,113570300,73.8,77.9,72.5,74.4,2.4,349,,,
2023-10-31,6856,521000,38301000,74.8,76.0,72.4,74.9,0.5,151,,,
2023-11-01,6856,137000,10319200,75.8,75.9,73.5,73.5,-1.4,54,,,
2023-11-02,6856,92000,6826000,74.9,74.9,73.5,74.5,1.0,68,73.86,,
2023-11-03,6856,87000,6413400,74.8,74.8,72.4,72.6,-1.9,49,73.44,,
2023-11-06,6856,65000,4761500,72.0,74.7,72.0,72.5,-0.1,46,73.12666666666667,,
2023-11-07,6856,52000,3734200,72.5,73.3,71.0,71.9,-0.6,44,72.71777777777778,,
2023-11-08,6856,59000,4292000,74.0,74.0,70.6,73.0,1.1,35,72.81185185185186,,
2023-11-09,6856,16000,1149000,72.8,73.0,71.3,72.3,-0.7,16,72.64123456790124,73.16,
2023-11-10,6856,11000,790000,72.5,72.5,70.7,72.0,-0.3,11,72.42748971193416,72.94909090909091,
2023-11-13,6856,28000,1982700,72.0,72.0,70.0,71.0,-1.0,25,71.9516598079561,72.59471074380166,
2023-11-14,6856,20000,1415600,71.0,71.5,70.3,70.4,-0.6,20,71.43443987197074,72.19567242674681,
2023-11-15,6856,32000,2279100,71.0,71.9,71.0,71.9,1.5,29,71.58962658131382,72.14191380370194,
2023-11-16,6856,26000,1872700,72.0,72.3,71.2,72.0,0.1,14,71.72641772087589,72.11611129393795,
2023-11-17,6856,25000,1789100,72.1,72.1,70.3,72.0,0.0,15,71.81761181391725,72.09500014958559,
2023-11-20,6856,37000,2606100,70.7,71.7,69.7,71.7,-0.3,33,71.77840787594484,72.02318194057003,
2023-11-21,6856,25000,1759800,71.0,71.0,70.1,71.0,-0.7,23,71.51893858396322,71.83714886046639,
2023-11-22,6856,25000,1751800,70.9,71.0,69.7,70.8,-0.2,15,71.27929238930881,71.64857634038158,
2023-11-23,6856,23000,1609300,70.2,70.3,69.9,70.3,-0.5,21,70.95286159287254,71.40338064213039,
2023-11-24,6856,16000,1121600,69.4,70.8,69.4,70.8,0.5,16,70.90190772858169,71.29367507083396,
2023-11-27,6856,17000,1196900,70.7,70.8,70.0,70.5,-0.3,17,70.76793848572113,71.14937051250051,72.09090909090908
2023-11-28,6856,33000,2302500,70.0,70.1,69.5,70.0,-0.5,21,70.51195899048075,70.94039405568223,71.90909090909089
2023-11-29,6856,16000,1118000,69.9,70.0,69.7,69.7,-0.3,13,70.24130599365384,70.71486786374001,71.71699604743081
2023-11-30,6856,25000,1750700,70.0,70.3,69.7,70.0,0.3,24,70.1608706624359,70.58489188851455,71.5676920433064
2023-12-01,6856,8000,557400,70.0,70.0,69.5,69.6,-0.4,7,69.97391377495727,70.40582063605736,71.3965883873667
2023-12-04,6856,38000,2627200,69.6,69.6,68.5,68.8,-0.8,34,69.58260918330484,70.1138532476833,71.17079809281307
2023-12-05,6856,29000,1986700,68.7,68.7,68.4,68.4,-0.4,23,69.18840612220323,69.80224356628634,70.92985912822063
2023-12-06,6856,8000,549600,68.7,68.7,68.7,68.7,0.3,8,69.02560408146883,69.60183564514337,70.73595833446231
2023-12-07,6856,108000,7485000,68.4,70.7,68.4,70.0,1.3,45,69.35040272097922,69.67422916420821,70.67196195755254
2023-12-08,6856,64000,4475100,70.0,70.0,69.0,69.1,-0.9,18,69.26693514731947,69.5698238616249,70.53526961341754
2023-12-11,6856,18000,1234700,68.7,69.1,68.3,68.5,-0.6,18,69.01129009821298,69.37531043223855,70.3582896470334
2023-12-12,6856,31000,2141600,68.5,69.6,68.5,69.6,1.1,21,69.20752673214199,69.41616308092244,70.29235141685659
2023-12-13,6856,16000,1117500,69.6,70.1,69.6,69.6,0.0,15,69.33835115476133,69.44958797530018,70.23214694582558
2023-12-14,6856,32000,2232600,69.6,70.0,69.5,70.0,0.4,26,69.55890076984089,69.54966288888197,70.21196025488422
2023-12-15,6856,10000,693400,69.5,69.5,69.0,69.5,-0.5,9,69.53926717989393,69.5406332727216,70.15005066750298
2023-12-18,6856,8000,552800,69.2,69.3,69.0,69.0,-0.5,8,69.35951145326261,69.44233631404495,70.05004626163316
2023-12-19,6856,31000,2118100,68.6,68.6,68.1,68.5,-0.5,21,69.0730076355084,69.27100243876406,69.9152596301868
2023-12-20,6856,12000,818900,68.4,68.4,68.1,68.1,-0.4,12,68.7486717570056,69.05809290444331,69.75741096669229
2023-12-21,6856,34000,2288100,67.6,67.6,67.0,67.3,-0.8,26,68.26578117133707,68.73843964908998,69.54372305654513
2023-12-22,6856,77000,5142800,67.1,67.1,66.2,66.8,-0.5,50,67.77718744755805,68.38599607652817,69.30513844293252
2023-12-25,6856,10000,666100,66.5,66.9,66.5,66.5,-0.3,10,67.35145829837204,68.0430876989776,69.06121336093838
2023-12-26,6856,6000,398900,66.1,66.8,66.1,66.8,0.3,4,67.16763886558135,67.81707175370894,68.86458611216113
2023-12-27,6856,9000,604900,66.8,67.5,66.8,67.1,0.3,8,67.14509257705423,67.6866950712164,68.71114384153843
2023-12-28,6856,7000,470500,67.1,67.3,67.1,67.1,0.0,5,67.13006171803615,67.58002324008615,68.57104437705682
2023-12-29,6856,5000,336300,67.1,67.4,67.1,67.4,0.3,4,67.22004114535743,67.54729174188867,68.4692144312258
2024-01-02,6856,2000,134000,67.0,67.0,67.0,67.0,-0.4,2,67.14669409690495,67.44778415245436,68.34145665459747
2024-01-03,6856,4000,267400,67.0,67.0,66.6,66.8,-0.2,4,67.03112939793664,67.33000521564448,68.20741694550203
2024-01-04,6856,7000,467900,66.9,66.9,66.8,66.8,0.0,7,66.9540862652911,67.23364063098184,68.08503286328447
2024-01-05,6856,7000,466200,66.7,66.7,66.5,66.6,-0.2,6,66.83605751019407,67.11843324353059,67.95589957082495
2024-01-08,6856,3000,199800,66.8,66.8,66.5,66.5,-0.1,3,66.72403834012938,67.00599083561593,67.82929960814452
