date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2008-01-02,4523,10000,170000,17.0,17.0,17.0,17.0,0.0,1
2008-01-03,4523,1000,16950,16.95,16.95,16.95,16.95,-0.05,1
2008-01-04,4523,0,0,0.0,0.0,0.0,0.0,0.0,0
2008-01-07,4523,30000,492700,16.7,16.7,16.1,16.1,-0.85,7
2008-01-08,4523,1000,17000,17.0,17.0,17.0,17.0,0.9,1
2008-01-09,4523,0,0,0.0,0.0,0.0,0.0,0.0,0
2008-01-10,4523,46000,745000,16.1,17.0,16.1,16.85,-0.15,13
2008-01-11,4523,2000,33600,16.8,16.8,16.8,16.8,-0.05,1
2008-01-14,4523,95000,1678950,17.0,17.9,17.0,17.6,0.8,36
2008-01-15,4523,108000,1929050,17.5,18.45,17.5,17.8,0.2,31
2008-01-16,4523,8000,137350,17.8,17.9,16.9,17.9,0.1,4
2008-01-17,4523,17000,291050,17.3,17.3,16.9,17.15,-0.75,10
2008-01-18,4523,12000,206100,17.15,17.2,17.15,17.15,0.0,7
2008-01-21,4523,41000,700750,17.15,17.3,16.6,16.65,-0.5,19
2008-01-22,4523,61000,978700,15.8,16.25,15.8,16.05,-0.6,30
2008-01-23,4523,71000,1139750,16.0,17.15,16.0,16.0,-0.05,21
2008-01-24,4523,10000,162600,16.45,16.45,16.1,16.15,0.15,4
2008-01-25,4523,124000,2101100,16.15,17.25,16.15,16.9,0.75,41
2008-01-28,4523,4000,66400,16.6,16.6,16.6,16.6,-0.3,2
2008-01-29,4523,1000,16850,16.85,16.85,16.85,16.85,0.25,1
2008-01-30,4523,1000,16500,16.5,16.5,16.5,16.5,-0.35,1
2008-01-31,4523,5000,80250,16.05,16.05,16.05,16.05,-0.45,2
2008-02-01,4523,5000,81050,16.1,16.55,16.1,16.55,0.5,4
2008-02-12,4523,3000,49100,16.35,16.4,16.35,16.4,-0.15,3
2008-02-13,4523,0,0,0.0,0.0,0.0,0.0,0.0,0
2008-02-14,4523,3000,49400,16.35,16.7,16.35,16.7,0.3,3
2008-02-15,4523,18000,303600,16.6,17.3,16.6,16.65,-0.05,15
2008-02-18,4523,6000,99750,16.75,16.75,16.5,16.5,-0.15,4
2008-02-19,4523,8000,133000,16.5,17.0,16.4,17.0,0.5,7
2008-02-20,4523,4000,66900,16.8,16.8,16.65,16.65,-0.35,4
2008-02-21,4523,28000,469100,16.9,17.0,16.65,16.65,0.0,10
2008-02-22,4523,68000,1178800,17.0,17.75,17.0,17.5,0.85,37
2008-02-25,4523,23000,402850,17.2,17.95,17.2,17.95,0.45,12
2008-02-26,4523,79000,1405450,17.5,18.2,17.1,17.6,-0.35,51
2008-02-27,4523,211000,3862550,17.7,18.8,17.7,18.0,0.4,74
2008-02-29,4523,5000,90000,18.0,18.05,17.95,17.95,-0.05,5
2008-03-03,4523,1000,17950,17.95,17.95,17.95,17.95,0.0,1
2008-03-04,4523,34000,599650,17.95,18.0,17.45,17.85,-0.1,17
