date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema
2023-11-21,5292,3455670,433482440,114.0,144.5,113.5,144.5,0.0,2629,,,
2023-11-22,5292,2458792,346344330,135.0,150.5,132.0,144.0,-0.5,2225,,,
2023-11-23,5292,1346719,190861055,141.5,147.0,137.0,141.0,-3.0,1238,,,
2023-11-24,5292,862891,119807765,140.0,142.5,135.0,137.5,-3.5,854,,,
2023-11-27,5292,2296302,338374669,139.5,157.0,139.5,155.5,18.0,2076,144.5,,
2023-11-28,5292,1791347,269753817,150.0,156.5,147.0,150.0,-5.5,1665,146.33333333333334,,
2023-11-29,5292,1682069,238988255,149.5,149.5,136.5,144.0,-6.0,1681,145.55555555555557,,
2023-11-30,5292,694628,98001419,143.0,144.0,138.5,141.5,-2.5,730,144.20370370370372,,
2023-12-01,5292,895250,123477273,141.5,141.5,135.5,135.5,-6.0,991,141.30246913580248,,
2023-12-04,5292,623629,84159180,136.5,139.0,131.5,133.5,-2.0,690,138.70164609053498,142.7,
2023-12-05,5292,474356,64232293,132.0,139.0,131.5,134.5,1.0,523,137.30109739369,141.2090909090909,
2023-12-06,5292,1819785,262009623,137.5,147.5,136.5,146.5,12.0,1780,140.36739826246,142.17107438016527,
2023-12-07,5292,1055604,149184467,143.5,146.0,138.5,138.5,-8.0,1205,139.74493217497334,141.5036063110443,
2023-12-08,5292,540870,73933879,137.0,139.0,134.5,136.5,-2.0,692,138.66328811664889,140.59385970903625,
2023-12-11,5292,835862,109417563,138.0,138.5,128.0,131.5,-5.0,945,136.27552541109927,138.94043067102967,
2023-12-12,5292,327087,42571076,131.5,132.5,129.0,129.5,-2.0,481,134.01701694073284,137.22398873084245,
2023-12-13,5292,294217,38191790,129.5,131.5,129.0,129.0,-0.5,376,132.34467796048855,135.72871805250745,
2023-12-14,5292,417890,52899008,129.5,129.5,125.0,126.0,-3.0,689,130.22978530699237,133.95986022477882,
2023-12-15,5292,314121,39406567,126.0,127.5,123.5,127.0,1.0,488,129.15319020466157,132.69443109300084,
2023-12-18,5292,221761,27726916,127.0,127.0,124.0,124.0,-3.0,359,127.43546013644105,131.11362543972797,
2023-12-19,5292,204035,25148868,125.0,125.5,122.0,123.0,-1.0,284,125.95697342429403,129.63842081432287,
2023-12-20,5292,266106,33595758,123.5,129.0,123.0,126.5,3.5,331,126.1379822828627,129.06779884808236,136.3409090909091
2023-12-21,5292,184953,23015047,124.5,125.5,123.5,123.5,-3.0,242,125.2586548552418,128.05547178479466,135.22430830039525
2023-12-22,5292,186028,22764957,124.5,124.5,121.0,121.5,-2.0,313,124.00576990349454,126.8635678239229,134.0308901873174
2023-12-25,5292,92159,11204454,122.0,122.5,121.0,121.0,-0.5,139,123.00384660232969,125.79746458320965,132.8977693014637
2023-12-26,5292,133950,16184569,121.0,122.0,120.0,121.0,0.0,208,122.33589773488646,124.92519829535334,131.86318066655383
2023-12-27,5292,148707,18128303,121.0,123.5,121.0,121.0,0.0,200,121.8905984899243,124.21152587801637,130.91855626076654
2023-12-28,5292,615394,79288922,122.0,133.0,122.0,129.5,8.5,702,124.42706565994953,125.17306662746795,130.795203542439
2023-12-29,5292,335686,42518690,126.0,129.5,124.5,126.5,-3.0,381,125.11804377329969,125.4143272406556,130.4217075822269
2024-01-02,5292,100561,12593503,126.5,126.5,124.5,125.0,-1.5,142,125.07869584886646,125.33899501508185,129.95025474898978
2024-01-03,5292,111955,14123706,125.0,127.0,125.0,126.0,1.0,149,125.38579723257764,125.45917773961243,129.60675433603416
2024-01-04,5292,296210,38231001,125.5,131.0,125.5,129.5,3.5,326,126.75719815505177,126.19387269604653,129.59747135029207
2024-01-05,5292,101849,13072634,129.0,129.5,128.0,128.5,-1.0,140,127.33813210336784,126.61316856949261,129.5020390589623
2024-01-08,5292,179902,23375497,128.5,132.0,127.5,128.5,0.0,202,127.72542140224523,126.95622882958487,129.4149052277482
