date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2012-11-05,5225,6349000,385128100,65.0,65.0,56.3,61.9,0.0,2941
2012-11-06,5225,1571000,95438000,60.0,62.0,59.1,61.9,0.0,1008
2012-11-07,5225,2152000,139953000,61.8,70.0,61.1,67.5,5.6,1259
2012-11-08,5225,753000,50498900,65.1,69.0,65.1,67.5,0.0,461
2012-11-09,5225,791000,52671000,68.0,68.0,65.1,66.5,-1.0,434
2012-11-12,5225,909000,60043498,66.0,67.0,64.5,65.9,-0.6,353
2012-11-13,5225,689000,44297000,65.0,65.7,63.2,64.5,-1.4,370
2012-11-14,5225,1112010,72533785,62.0,66.4,62.0,65.4,0.9,307
2012-11-15,5225,562015,36501490,64.3,65.5,63.2,65.0,-0.4,212
2012-11-16,5225,1077000,71185700,65.1,66.6,65.1,66.0,1.0,354
2012-11-19,5225,1208000,78819600,65.8,66.9,61.5,65.0,-1.0,391
2012-11-20,5225,193000,12198100,64.5,65.0,62.2,63.4,-1.6,107
2012-11-21,5225,123000,7676600,62.5,63.4,61.5,62.4,-1.0,61
2012-11-22,5225,195000,12231100,63.4,63.4,61.6,61.6,-0.8,56
2012-11-23,5225,130000,8205200,62.3,64.0,62.3,63.3,1.7,77
2012-11-26,5225,111000,7051400,63.3,64.1,63.2,63.7,0.4,55
2012-11-27,5225,79001,4959168,63.7,63.7,62.1,63.2,-0.5,62
2012-11-28,5225,47000,2966400,63.1,63.5,62.5,63.3,0.1,38
2012-11-29,5225,74000,4669900,63.1,63.7,62.4,63.4,0.1,47
2012-11-30,5225,330000,21290100,63.4,66.4,63.3,64.5,1.1,160
2012-12-03,5225,149000,9634500,65.0,65.0,63.9,64.3,-0.2,73
2012-12-04,5225,287000,18607700,64.3,65.0,63.0,65.0,0.7,62
2012-12-05,5225,92000,6027000,65.0,66.0,65.0,65.5,0.5,57
2012-12-06,5225,652005,43267850,66.0,67.8,65.8,67.0,1.5,198
2012-12-07,5225,137000,9122100,67.4,67.7,66.0,66.0,-1.0,72
2012-12-10,5225,60010,3902906,66.0,66.0,64.8,64.9,-1.1,43
2012-12-11,5225,93000,5985500,63.4,64.9,63.4,64.7,-0.2,37
2012-12-12,5225,55000,3541500,64.0,65.0,64.0,64.4,-0.3,19
2012-12-13,5225,22000,1410200,64.3,64.5,63.6,64.5,0.1,19
2012-12-14,5225,131000,8471900,62.9,65.0,62.9,64.9,0.4,38
2012-12-17,5225,65000,4107900,63.0,64.9,62.8,64.5,-0.4,42
2012-12-18,5225,123000,7978800,64.3,65.5,64.3,64.6,0.1,23
2012-12-19,5225,50000,3232800,65.3,65.3,63.6,64.6,0.0,11
2012-12-20,5225,477000,31110200,64.0,66.5,63.5,65.0,0.4,83
2012-12-21,5225,183000,11892300,65.6,65.6,63.8,65.0,0.0,23
2012-12-22,5225,67000,4264700,65.5,65.5,63.0,64.9,-0.1,48
2012-12-24,5225,50000,3183000,64.7,64.9,63.0,64.0,-0.9,36
2012-12-25,5225,170000,10753500,64.0,64.0,62.5,63.3,-0.7,55
2012-12-26,5225,269000,16986800,63.9,63.9,61.7,63.5,0.2,77
2012-12-27,5225,165000,10697700,63.5,66.4,63.5,64.1,0.6,51
2012-12-28,5225,789000,50878700,64.3,65.0,62.6,64.5,0.4,138
2013-01-02,5225,65000,4164000,63.5,65.2,63.3,64.4,-0.1,46
2013-01-03,5225,151000,9637000,64.6,64.6,63.3,63.9,-0.5,34
2013-01-04,5225,315000,20013300,63.9,63.9,62.5,63.9,0.0,84
2013-01-07,5225,230000,14634900,63.7,63.9,63.0,63.5,-0.4,52
2013-01-08,5225,65000,4119900,63.9,64.1,63.0,63.0,-0.5,38
2013-01-09,5225,70000,4440000,63.8,63.8,63.0,63.3,0.3,21
2013-01-10,5225,513000,32581100,63.8,63.8,63.0,63.5,0.2,74
2013-01-11,5225,119000,7580400,63.3,64.4,63.0,63.1,-0.4,50
2013-01-14,5225,8000,503200,62.9,62.9,62.9,62.9,-0.2,8
2013-01-15,5225,37000,2326100,63.5,63.5,62.2,63.2,0.3,19
2013-01-16,5225,530000,33776000,62.0,64.1,62.0,63.8,0.6,82
2013-01-17,5225,48000,3041200,63.9,63.9,62.7,63.5,-0.3,22
2013-01-18,5225,57000,3594200,63.5,63.5,62.6,63.5,0.0,23
2013-01-21,5225,151000,9560800,63.4,63.8,63.3,63.3,-0.2,15
2013-01-22,5225,128000,8095200,63.2,63.3,62.7,63.3,0.0,23
2013-01-23,5225,120037,7597604,63.3,63.9,63.0,63.3,0.0,17
2013-01-24,5225,115013,7284128,63.0,63.4,63.0,63.0,-0.3,21
2013-01-25,5225,21000,1320300,62.7,63.4,62.6,63.4,0.4,18
2013-01-28,5225,15000,951500,63.5,63.8,63.4,63.4,0.0,9
2013-01-29,5225,183012,11574963,63.2,63.5,63.0,63.5,0.1,16
2013-01-30,5225,32001,2034267,63.0,63.8,63.0,63.8,0.3,23
2013-01-31,5225,137000,8725500,63.1,63.8,63.0,63.8,0.0,28
2013-02-01,5225,1293937,87557028,63.5,68.2,63.5,68.2,4.4,362
2013-02-04,5225,768300,52527170,68.2,69.1,66.5,68.2,0.0,295
2013-02-05,5225,549015,37469593,67.8,68.6,67.2,67.3,-0.9,95
2013-02-06,5225,901000,56972000,62.6,64.8,62.6,64.6,-2.7,343
2013-02-18,5225,77000,4842700,63.0,63.4,62.0,63.0,-1.6,54
2013-02-19,5225,134048,8179452,61.0,61.5,60.5,60.8,-2.2,95
2013-02-20,5225,559019,34180568,58.8,63.0,58.8,61.9,1.1,155
2013-02-21,5225,189013,11619786,60.0,62.2,60.0,61.3,-0.6,59
2013-02-22,5225,156920,9535160,60.5,61.7,60.0,61.4,0.1,108
2013-02-23,5225,99000,6045100,60.5,61.5,60.5,61.4,0.0,53
2013-02-25,5225,68000,4163400,61.4,61.5,60.5,61.4,0.0,41
2013-02-26,5225,28000,1705200,60.3,61.4,60.3,61.0,-0.4,14
2013-02-27,5225,122000,7444800,60.8,61.4,60.6,61.1,0.1,29
2013-03-01,5225,78012,4741629,60.6,60.9,60.6,60.6,-0.5,16
2013-03-04,5225,135000,8115400,60.3,60.5,59.6,60.3,-0.3,43
2013-03-05,5225,172000,10271200,60.0,60.0,59.0,60.0,-0.3,50
2013-03-06,5225,64000,3846900,59.9,61.2,59.6,59.6,-0.4,31
2013-03-07,5225,39012,2322314,59.7,59.8,59.3,59.5,-0.1,22
2013-03-08,5225,28012,1659814,59.9,59.9,59.0,59.5,0.0,22
2013-03-11,5225,735841,44284660,59.5,61.5,59.2,60.0,0.5,105
2013-03-12,5225,265000,16395500,62.0,63.5,61.0,61.5,1.5,173
2013-03-13,5225,980100,61458400,61.5,63.3,61.5,63.3,1.8,211
2013-03-14,5225,1301150,84004050,63.5,65.4,63.5,65.0,1.7,333
2013-03-15,5225,1080090,69325405,65.0,65.0,63.3,64.3,-0.7,220
2013-03-18,5225,83150,5288990,64.0,64.0,63.0,63.0,-1.3,70
2013-03-19,5225,984000,62945500,63.0,64.5,63.0,64.2,1.2,153
2013-03-20,5225,323000,20652600,64.1,64.3,63.4,63.5,-0.7,115
2013-03-21,5225,592000,37427300,63.3,63.8,62.6,63.5,0.0,196
2013-03-22,5225,352000,22332100,63.1,63.7,62.8,63.5,0.0,100
2013-03-25,5225,379000,23757800,63.1,63.4,62.0,62.0,-1.5,170
2013-03-26,5225,317000,19718500,62.0,62.5,61.9,62.3,0.3,103
2013-03-27,5225,387000,24077700,62.0,62.5,62.0,62.3,0.0,71
2013-03-28,5225,345055,21500826,62.0,62.5,62.0,62.3,0.0,89
2013-03-29,5225,334000,20771000,62.3,62.8,61.9,61.9,-0.4,193
2013-04-01,5225,259045,15925490,62.0,62.2,61.0,61.0,-0.9,139
2013-04-02,5225,470000,29136500,61.0,62.5,60.8,62.3,1.3,158
2013-04-03,5225,475000,29708400,62.3,63.0,61.9,62.6,0.3,115
2013-04-08,5225,110045,6815980,62.0,62.5,61.6,61.6,-1.0,74
2013-04-09,5225,455000,28026300,62.3,62.3,61.1,61.6,0.0,44
2013-04-10,5225,467000,28663000,61.6,61.6,61.1,61.3,-0.3,59
2013-04-11,5225,510000,31913200,62.2,62.9,62.0,62.3,1.0,100
2013-04-12,5225,448030,27781054,62.3,62.3,61.6,61.6,-0.7,51
2013-04-15,5225,438037,27277005,61.9,62.7,61.6,62.3,0.7,150
2013-04-16,5225,613000,38199100,61.6,62.8,61.6,62.8,0.5,239
2013-04-17,5225,439025,27532425,62.8,63.0,62.0,63.0,0.2,171
2013-04-18,5225,446000,27870800,62.5,63.0,61.5,62.3,-0.7,171
2013-04-19,5225,954045,61330625,62.8,65.2,62.8,64.3,2.0,360
2013-04-22,5225,291000,18505300,64.5,64.7,63.0,63.6,-0.7,138
2013-04-23,5225,137000,8640300,64.0,64.0,62.7,62.7,-0.9,86
2013-04-24,5225,420000,26120100,63.0,63.4,61.5,63.0,0.3,264
2013-04-25,5225,272000,17147200,62.8,63.5,62.3,63.2,0.2,70
2013-04-26,5225,229000,14505100,63.3,63.7,62.7,62.8,-0.4,147
2013-04-29,5225,159000,9863500,62.8,62.8,61.5,62.6,-0.2,106
2013-04-30,5225,279025,17554342,62.6,63.3,62.3,62.7,0.1,122
2013-05-02,5225,741000,46758100,62.8,63.4,62.7,63.4,0.7,133
2013-05-03,5225,196005,12540039,64.1,64.5,63.5,63.7,0.3,130
2013-05-06,5225,147000,9384800,63.8,64.1,63.6,64.1,0.4,109
2013-05-07,5225,456000,29432800,63.9,65.2,63.8,64.7,0.6,204
2013-05-08,5225,911000,60170900,64.7,67.3,64.5,66.4,1.7,383
2013-05-09,5225,459010,30350199,67.0,67.1,65.2,66.0,-0.4,220
2013-05-10,5225,1671000,116683800,70.6,70.6,67.8,68.2,2.2,544
2013-05-13,5225,3153455,222160605,69.3,72.4,68.0,70.8,2.6,840
2013-05-14,5225,2736200,194885260,70.8,71.8,69.8,70.6,-0.2,585
2013-05-15,5225,1583370,113370440,70.6,72.5,69.0,71.8,1.2,536
2013-05-16,5225,3183780,239754302,72.0,76.8,71.8,76.8,5.0,858
2013-05-17,5225,4119200,330362220,78.6,81.9,76.0,81.0,4.2,1094
2013-05-20,5225,1226107,97201560,81.0,81.0,77.6,79.8,-1.2,473
2013-05-21,5225,1107127,87935920,79.5,81.0,78.1,78.9,-0.9,447
2013-05-22,5225,2852000,231231000,81.0,82.7,78.9,79.5,0.6,824
2013-05-23,5225,961000,75837800,79.4,80.0,77.3,79.1,-0.4,333
2013-05-24,5225,1061000,84389600,78.9,81.0,78.5,78.5,-0.6,414
2013-05-27,5225,805043,62984932,78.5,79.1,77.3,77.3,-1.2,242
2013-05-28,5225,1515000,118246500,77.4,78.8,77.0,78.6,1.3,279
2013-05-29,5225,1330000,105339500,78.6,79.7,78.6,79.3,0.7,327
2013-05-30,5225,1286200,102050900,79.3,80.0,78.6,80.0,0.7,267
2013-05-31,5225,872200,69872100,81.0,81.0,79.0,79.0,-1.0,287
2013-06-03,5225,834800,66688219,78.1,80.8,77.7,79.8,0.8,295
2013-06-04,5225,1209539,96506996,79.8,80.8,79.2,79.8,0.0,270
2013-06-05,5225,991614,79126106,79.8,80.0,78.5,79.6,-0.2,334
2013-06-06,5225,2469000,204603900,79.4,85.1,77.8,85.1,5.5,932
2013-06-07,5225,1791514,151466073,85.1,86.3,81.8,83.7,-1.4,918
2013-06-10,5225,1068010,88794950,85.0,85.2,82.0,82.6,-1.1,554
2013-06-11,5225,1112015,90607592,82.8,83.6,80.5,81.4,-1.2,426
2013-06-13,5225,1582000,128238500,81.4,82.0,80.3,80.9,-0.5,453
2013-06-14,5225,764031,61957282,81.5,81.5,80.5,80.8,-0.1,434
2013-06-17,5225,835127,67952237,81.3,81.7,80.3,81.5,0.7,450
2013-06-18,5225,1262040,101577600,81.5,81.6,79.0,80.7,-0.8,535
2013-06-19,5225,2685345,221696739,81.0,83.8,80.8,82.6,1.9,842
2013-06-20,5225,2290310,186796413,82.6,83.0,80.8,81.7,-0.9,791
2013-06-21,5225,4058690,317312856,71.4,81.0,71.4,78.6,0.0,1428
2013-06-24,5225,1965187,157661540,79.0,81.6,76.9,80.5,1.9,696
2013-06-25,5225,1274345,102533640,78.6,81.0,78.6,80.2,-0.3,462
2013-06-26,5225,1463050,116263575,81.0,81.1,77.0,79.3,-0.9,501
2013-06-27,5225,1491100,120459529,79.3,81.7,78.0,81.7,2.4,449
2013-06-28,5225,1039000,85417600,82.5,83.4,81.0,81.0,-0.7,434
2013-07-01,5225,748000,59291800,81.2,81.2,78.3,80.0,-1.0,424
2013-07-02,5225,785125,62597750,79.0,80.1,78.8,79.7,-0.3,288
2013-07-03,5225,611478,47497900,79.7,80.0,76.4,77.7,-2.0,297
2013-07-04,5225,754000,58303000,77.5,78.7,76.5,77.0,-0.7,281
2013-07-05,5225,679300,52455670,77.8,77.8,76.2,77.3,0.3,313
2013-07-08,5225,479374,36462524,77.0,77.0,74.9,76.8,-0.5,278
2013-07-09,5225,620000,47695400,76.8,77.5,76.1,77.0,0.2,301
2013-07-10,5225,825450,63527350,77.3,77.6,75.8,77.4,0.4,390
2013-07-11,5225,1070450,84524925,77.7,79.5,77.6,78.9,1.5,396
2013-07-12,5225,1080000,83647100,78.9,79.7,77.7,78.3,-0.6,353
2013-07-15,5225,1129460,86115114,77.5,78.4,75.5,77.0,-1.3,531
2013-07-16,5225,1002400,75791280,75.5,77.0,75.5,76.6,-0.4,441
