date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2010-01-04,2910,20001,482225,23.8,24.25,23.8,24.2,0.4,16
2010-01-05,2910,27259,664282,24.5,24.5,24.05,24.05,-0.15,20
2010-01-06,2910,27746,663819,24.25,24.25,23.8,24.2,0.15,16
2010-01-07,2910,57200,1399090,24.15,24.8,24.15,24.75,0.55,35
2010-01-08,2910,25011,626164,25.0,25.4,24.8,24.8,0.05,21
2010-01-11,2910,15007,369074,25.0,25.0,24.2,24.7,-0.1,8
2010-01-12,2910,2006,48848,24.35,24.35,24.35,24.35,-0.35,3
2010-01-13,2910,10000,245200,24.45,24.75,24.45,24.5,0.15,6
2010-01-14,2910,14364,356054,24.6,24.9,24.6,24.8,0.3,12
2010-01-15,2910,11000,269500,24.5,24.5,24.5,24.5,-0.3,5
2010-01-18,2910,28000,688700,24.5,24.85,24.5,24.75,0.25,19
2010-01-19,2910,43000,1064750,24.4,24.9,24.4,24.7,-0.05,20
2010-01-20,2910,5000,123300,24.7,24.7,24.5,24.5,-0.2,5
2010-01-21,2910,88000,2213700,24.7,26.0,24.7,24.9,0.4,72
2010-01-22,2910,15000,354850,23.95,24.0,23.2,24.0,-0.9,10
2010-01-25,2910,13060,311392,23.4,24.2,23.4,24.2,0.2,16
2010-01-26,2910,25000,577500,24.05,24.05,22.6,23.2,-1.0,25
2010-01-27,2910,14005,318416,22.9,22.9,22.6,22.85,-0.35,15
2010-01-28,2910,6000,139250,23.5,23.5,23.15,23.15,0.3,2
2010-01-29,2910,13000,297000,23.0,23.0,22.65,23.0,-0.15,12
2010-02-01,2910,12000,270100,22.65,22.75,22.0,22.75,-0.25,12
2010-02-02,2910,26006,577337,22.65,22.65,21.75,22.0,-0.75,27
2010-02-03,2910,41006,877083,22.45,22.45,21.05,21.65,-0.35,27
2010-02-04,2910,29000,625450,21.6,22.0,21.1,21.4,-0.25,27
2010-02-05,2910,65009,1333543,21.0,21.2,20.1,20.4,-1.0,61
2010-02-06,2910,32000,653400,19.9,21.55,19.9,20.7,0.3,25
2010-02-08,2910,63009,1260887,20.9,20.9,19.45,19.95,-0.75,45
2010-02-09,2910,44000,888350,20.25,20.3,19.85,20.3,0.35,18
2010-02-10,2910,21029,429645,20.6,20.9,20.15,20.45,0.15,20
2010-02-22,2910,7019,146857,21.2,21.2,20.65,20.95,0.5,7
2010-02-23,2910,3000,63200,21.3,21.3,20.95,20.95,0.0,3
2010-02-24,2910,6000,125500,20.95,20.95,20.9,20.9,-0.05,5
2010-02-25,2910,5000,103850,21.0,21.0,20.55,20.85,-0.05,5
2010-02-26,2910,32030,648514,20.85,20.95,20.15,20.5,-0.35,25
2010-03-01,2910,24000,485900,20.0,20.85,19.7,20.85,0.35,21
2010-03-02,2910,9009,189489,21.3,21.3,21.0,21.0,0.15,9
2010-03-03,2910,24009,512042,21.0,21.7,21.0,21.45,0.45,24
2010-03-04,2910,14007,299000,21.7,21.7,21.1,21.15,-0.3,7
2010-03-05,2910,7018,150024,21.6,21.6,21.1,21.1,-0.05,6
2010-03-08,2910,36000,774700,21.6,21.6,21.25,21.6,0.5,15
2010-03-09,2910,12000,256600,21.7,21.7,21.25,21.55,-0.05,7
2010-03-10,2910,16000,341000,20.65,21.6,20.65,21.6,0.05,12
2010-03-11,2910,7000,150950,21.6,21.6,21.4,21.55,-0.05,6
2010-03-12,2910,14302,305394,21.6,21.6,21.1,21.55,0.0,17
2010-03-15,2910,7000,151100,22.1,22.1,21.5,21.5,-0.05,4
2010-03-16,2910,17003,368963,21.4,22.0,21.4,22.0,0.5,13
2010-03-17,2910,48412,1098587,22.7,23.4,22.2,23.15,1.15,39
2010-03-18,2910,35000,833350,23.7,24.4,23.55,24.0,0.85,18
2010-03-19,2910,8008,187485,24.0,24.0,23.1,23.3,-0.7,10
2010-03-22,2910,1605,37474,23.65,23.65,23.65,23.65,0.35,2
2010-03-23,2910,1006,23138,23.0,23.0,23.0,23.0,-0.65,2
2010-03-24,2910,26006,589985,23.0,23.0,22.35,22.45,-0.55,17
2010-03-25,2910,14005,313162,22.25,22.5,22.25,22.5,0.05,9
2010-03-26,2910,3000,68100,22.7,22.7,22.7,22.7,0.2,3
2010-03-29,2910,20000,457700,22.9,23.1,22.55,23.1,0.4,9
2010-03-30,2910,7006,160138,23.1,23.1,22.55,22.85,-0.25,8
2010-03-31,2910,37000,840050,23.0,23.0,22.55,22.7,-0.15,4
2010-04-01,2910,22000,504800,23.0,23.15,22.9,23.15,0.45,14
2010-04-02,2910,8000,186850,23.35,23.45,23.2,23.2,0.05,8
2010-04-06,2910,60000,1415450,23.0,24.4,23.0,23.6,0.4,41
2010-04-07,2910,24000,560550,23.85,23.85,23.3,23.5,-0.1,6
2010-04-08,2910,16050,376770,23.5,23.9,23.1,23.4,-0.1,10
2010-04-09,2910,60015,1442260,23.65,24.35,23.65,24.35,0.95,54
2010-04-12,2910,30562,757259,24.35,24.9,24.35,24.8,0.45,27
2010-04-13,2910,7010,168312,23.3,24.7,23.3,24.0,-0.8,8
2010-04-14,2910,2000,48700,24.6,24.6,24.1,24.1,0.1,2
2010-04-15,2910,4000,97200,24.5,24.5,24.1,24.1,0.0,4
2010-04-16,2910,10000,240650,24.35,24.35,23.85,24.05,-0.05,7
2010-04-19,2910,2000,47500,23.6,23.9,23.6,23.9,-0.15,2
2010-04-20,2910,3000,69600,23.2,23.2,23.2,23.2,-0.7,1
2010-04-21,2910,33512,761489,23.5,23.65,22.5,22.75,-0.45,31
2010-04-22,2910,64000,1408150,22.75,22.75,21.65,22.1,-0.65,64
2010-04-23,2910,35000,777400,22.4,22.4,22.1,22.2,0.1,28
2010-04-26,2910,24000,540000,22.5,22.6,22.4,22.55,0.35,19
2010-04-27,2910,12027,271651,22.55,22.75,22.5,22.6,0.05,9
2010-04-28,2910,5004,113090,22.4,22.65,22.4,22.65,0.05,6
2010-04-29,2910,6512,147144,22.75,22.75,22.3,22.65,0.0,7
2010-04-30,2910,16000,362500,22.75,22.9,22.55,22.55,-0.1,14
2010-05-03,2910,6000,136350,22.75,22.9,22.2,22.85,0.3,6
2010-05-04,2910,5000,112300,22.25,22.75,22.25,22.6,-0.25,5
2010-05-05,2910,18001,392021,21.65,22.9,21.1,21.6,-1.0,16
2010-05-06,2910,14001,301820,21.6,22.1,21.0,21.6,0.0,14
