date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-02-10,6708,514000,31941000,64.0,64.0,61.2,61.3,-3.7,413,61.82106522853519,61.162337990336674,59.810079051383404,
2023-02-13,6708,166000,10000300,61.6,61.6,59.3,59.8,-1.5,150,61.14737681902346,60.91464017391182,59.80920261213267,
2023-02-14,6708,167000,10007500,59.2,60.8,59.2,59.8,0.0,130,60.6982512126823,60.71197832410967,59.8084023849907,
2023-02-15,6708,129000,7626600,59.4,60.3,58.0,58.6,-1.2,115,59.9988341417882,60.327982265180644,59.70332391673064,
2023-02-16,6708,90000,5333700,59.1,59.7,58.8,59.2,0.6,82,59.73255609452547,60.12289458060235,59.65955661962363,
2023-02-17,6708,107000,6365900,59.3,60.4,58.6,60.3,1.1,94,59.92170406301698,60.15509556594738,59.71524734835201,
2023-02-20,6708,168000,10095300,60.1,60.5,59.7,59.9,-0.4,124,59.91446937534465,60.10871455395694,59.7313127963214,
2023-02-21,6708,190000,11630700,60.3,61.9,60.3,60.7,0.8,165,60.176312916896435,60.216220998692044,59.81554646620649,
2023-02-22,6708,172000,10213600,59.9,59.9,58.8,59.4,-1.3,138,59.91754194459762,60.06781718074804,59.779411990884185,
2023-02-23,6708,147000,8838900,59.4,60.7,59.2,60.3,0.9,123,60.04502796306508,60.11003223879385,59.82468051341599,
2023-02-24,6708,143000,8624200,60.6,61.2,59.7,59.7,-0.6,124,59.930018642043386,60.03548092264951,59.813838729640686,
2023-03-01,6708,98000,5813200,59.5,59.5,59.2,59.2,-0.5,81,59.68667909469559,59.8835753003496,59.76046144880237,
2023-03-02,6708,190000,11509500,59.6,61.2,59.3,60.5,1.3,150,59.95778606313039,59.99565251846785,59.82476914890651,
2023-03-03,6708,394000,24469300,61.2,63.2,60.8,62.3,1.8,319,60.73852404208693,60.41462478783733,60.04000661421899,
2023-03-06,6708,486000,30855800,63.4,64.5,62.3,63.6,1.3,362,61.69234936139129,60.99378391732145,60.34957125646081,
2023-03-07,6708,263000,16587300,63.6,63.9,62.3,62.5,-1.1,204,61.961566240927525,61.26764138689937,60.53656506024683,
2023-03-08,6708,238000,14592700,62.2,62.5,60.5,61.4,-1.1,186,61.77437749395168,61.291706589281304,60.6116463593558,
2023-03-09,6708,136000,8321000,61.2,61.5,60.8,60.8,-0.6,103,61.44958499596779,61.202305391230155,60.62802493680312,
