date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2008-01-02,8047,58000,767950,12.8,13.65,12.8,13.45,0.55,34
2008-01-03,8047,12000,158000,12.8,13.2,12.8,13.2,-0.25,6
2008-01-04,8047,23000,304500,12.95,13.75,12.95,13.55,0.35,11
2008-01-07,8047,40000,529250,12.9,13.5,12.8,13.35,-0.2,24
2008-01-08,8047,15000,196400,13.0,13.35,13.0,13.3,-0.05,6
2008-01-09,8047,15000,194850,13.0,13.3,12.8,13.2,-0.1,12
2008-01-10,8047,4000,52150,13.0,13.15,13.0,13.15,-0.05,4
2008-01-11,8047,9000,119600,13.1,13.55,13.05,13.15,0.0,9
2008-01-14,8047,14000,185300,13.2,13.45,13.15,13.2,0.05,11
2008-01-15,8047,23000,309900,13.65,13.65,13.2,13.35,0.15,15
2008-01-16,8047,4000,53050,12.95,13.4,12.95,13.35,0.0,4
2008-01-17,8047,9000,118950,13.0,13.35,12.9,13.35,0.0,7
2008-01-18,8047,13000,170700,13.0,13.25,13.0,13.2,-0.15,10
2008-01-21,8047,15000,205150,13.2,14.0,13.2,13.8,0.6,11
2008-01-22,8047,21000,273900,13.0,13.7,12.9,13.4,-0.4,10
2008-01-23,8047,35000,442450,12.9,13.35,12.5,12.8,-0.6,14
2008-01-24,8047,6000,74500,12.05,12.65,12.05,12.55,-0.25,6
2008-01-25,8047,31000,401400,13.2,13.2,12.7,13.05,0.5,18
2008-01-28,8047,18000,231250,13.8,13.8,12.65,12.65,-0.4,9
2008-01-29,8047,2000,26700,13.4,13.4,13.3,13.3,0.65,2
2008-01-30,8047,4000,52650,13.5,13.5,12.9,13.25,-0.05,4
2008-01-31,8047,16000,205400,13.4,13.4,12.6,12.95,-0.3,13
2008-02-01,8047,23000,297850,12.9,13.25,12.6,13.0,0.05,13
2008-02-12,8047,23000,288550,12.8,12.85,12.5,12.85,-0.15,11
2008-02-13,8047,35000,435000,12.0,13.2,12.0,12.6,-0.25,15
2008-02-14,8047,36000,451800,12.6,12.85,12.4,12.75,0.15,18
2008-02-15,8047,8000,100200,12.4,12.75,12.4,12.75,0.0,4
2008-02-18,8047,8000,104900,13.3,13.3,12.8,12.8,0.05,4
2008-02-19,8047,24000,302800,12.7,12.75,12.5,12.75,-0.05,10
2008-02-20,8047,13000,164600,13.2,13.2,12.4,12.85,0.1,12
2008-02-21,8047,25000,320200,12.8,12.85,12.7,12.85,0.0,10
