date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-12-28,6568,2327000,351014500,144.0,159.0,143.0,153.5,17.5,1593
2016-12-29,6568,672000,102552000,151.0,154.5,150.0,150.5,-3.0,570
2016-12-30,6568,505000,75285000,152.0,153.0,147.0,149.0,-1.5,437
2017-01-03,6568,373000,54459000,149.0,149.0,144.5,145.5,-3.5,267
2017-01-04,6568,429000,62780500,145.5,148.5,143.5,147.0,1.5,338
2017-01-05,6568,446000,66209000,148.5,150.5,147.0,147.5,0.5,341
2017-01-06,6568,401000,58511000,148.0,149.0,144.0,144.0,-3.5,315
2017-01-09,6568,555000,77200500,144.0,144.0,136.5,137.5,-6.5,456
2017-01-10,6568,418000,58093000,138.5,141.5,136.0,137.5,0.0,344
2017-01-11,6568,210000,29215500,138.0,140.0,138.0,139.0,1.5,181
2017-01-12,6568,172000,23644500,139.5,139.5,137.0,137.0,-2.0,154
2017-01-13,6568,478000,64284500,136.5,137.0,131.0,136.0,-1.0,389
2017-01-16,6568,396000,54152500,135.0,141.0,132.5,138.5,2.5,330
2017-01-17,6568,710000,101316000,139.0,146.0,137.0,144.5,6.0,616
2017-01-18,6568,444000,64810000,144.5,148.0,143.0,146.5,2.0,383
2017-01-19,6568,201000,28832000,146.5,146.5,142.0,142.0,-4.5,180
2017-01-20,6568,230000,32391500,142.0,143.0,139.0,142.0,0.0,185
2017-01-23,6568,114000,16207500,142.0,144.0,141.0,143.0,1.0,102
2017-01-24,6568,108000,15403500,143.0,144.0,142.0,143.0,0.0,96
2017-02-02,6568,150000,21500000,144.0,144.0,142.5,143.5,0.5,131
2017-02-03,6568,567000,84427000,144.0,151.0,144.0,148.5,5.0,450
2017-02-06,6568,427000,64190500,148.5,152.5,148.0,150.0,1.5,329
2017-02-07,6568,293000,44317000,150.0,153.0,149.0,150.0,0.0,252
2017-02-08,6568,230000,33816500,149.0,150.0,145.5,145.5,-4.5,198
2017-02-09,6568,298000,43470000,145.0,148.0,143.0,144.5,-1.0,265
2017-02-10,6568,953000,145140000,146.5,157.5,145.0,151.5,7.0,649
2017-02-13,6568,342000,51126500,152.0,153.5,147.0,147.0,-4.5,293
2017-02-14,6568,126000,18556500,147.5,149.5,145.0,146.5,-0.5,119
2017-02-15,6568,148000,21961000,147.0,150.5,147.0,147.0,0.5,136
2017-02-16,6568,235000,34510500,147.5,149.0,145.5,148.0,1.0,187
2017-02-17,6568,202000,29702500,148.0,148.5,146.0,148.0,0.0,155
2017-02-18,6568,184000,27362000,148.0,149.5,148.0,149.0,1.0,150
2017-02-20,6568,1912000,306005500,149.0,163.5,149.0,163.5,14.5,1335
2017-02-21,6568,1190000,195037500,166.0,168.0,158.0,162.5,-1.0,937
2017-02-22,6568,467000,76392000,165.5,166.5,161.5,162.0,-0.5,391
2017-02-23,6568,1112000,186812000,163.5,172.0,162.0,165.0,3.0,896
2017-02-24,6568,528000,88308500,166.0,171.5,164.0,167.0,2.0,451
2017-03-01,6568,406000,66608000,168.0,168.0,162.0,162.5,-4.5,319
2017-03-02,6568,389000,62057000,164.0,164.5,155.5,157.5,-5.0,335
2017-03-03,6568,125000,19649500,158.0,159.0,156.0,156.0,-1.5,113
2017-03-06,6568,122000,19150000,157.5,159.0,155.5,159.0,3.0,101
2017-03-07,6568,119000,18897500,159.0,160.0,157.5,157.5,-1.5,109
2017-03-08,6568,334000,50839500,157.5,157.5,150.0,151.5,-6.0,289
2017-03-09,6568,207000,31267500,150.5,153.5,148.5,152.5,1.0,167
2017-03-10,6568,84000,12711500,153.0,153.5,150.0,151.5,-1.0,81
2017-03-13,6568,509000,81170000,152.0,164.0,152.0,160.0,8.5,443
2017-03-14,6568,231000,36883000,162.0,162.0,157.5,160.0,0.0,182
2017-03-15,6568,245000,39737500,160.0,163.5,160.0,161.5,1.5,206
