date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2008-01-02,2834,8530773,84812126,10.0,10.0,9.9,9.94,-0.04,881
2008-01-03,2834,5029763,49363638,9.85,9.9,9.75,9.87,-0.07,633
2008-01-04,2834,14938802,148442882,9.76,10.05,9.75,10.0,0.13,1655
2008-01-07,2834,10253726,100484191,9.9,9.94,9.7,9.74,-0.26,1116
2008-01-08,2834,9232425,91557980,9.81,10.0,9.79,9.91,0.17,1270
2008-01-09,2834,6567424,64614392,9.78,9.9,9.78,9.86,-0.05,934
2008-01-10,2834,8046100,79031018,9.9,9.94,9.78,9.78,-0.08,1032
2008-01-11,2834,9863061,96839379,9.88,9.89,9.79,9.8,0.02,810
2008-01-14,2834,29546500,296616673,10.05,10.15,9.9,10.15,0.35,2412
2008-01-15,2834,92842143,978810597,10.2,10.75,10.2,10.75,0.6,7369
2008-01-16,2834,55658222,577940616,10.65,10.65,10.15,10.2,-0.55,4762
2008-01-17,2834,39509583,404366141,10.35,10.4,10.1,10.2,0.0,2496
2008-01-18,2834,31785809,325576290,10.05,10.4,10.0,10.4,0.2,2756
2008-01-21,2834,33337439,349539247,10.4,10.6,10.35,10.55,0.15,2570
2008-01-22,2834,29565046,294765497,10.1,10.15,9.86,9.95,-0.6,2680
2008-01-23,2834,20734320,207332579,10.15,10.2,9.82,9.92,-0.03,2203
2008-01-24,2834,33607351,339165130,10.05,10.25,9.96,10.0,0.08,2420
2008-01-25,2834,10471383,105068970,10.15,10.15,9.98,10.0,0.0,1285
2008-01-28,2834,6107752,60469589,10.0,10.0,9.82,9.82,-0.18,956
2008-01-29,2834,5947683,58617958,9.85,9.92,9.8,9.87,0.05,904
2008-01-30,2834,8121416,79933091,9.89,9.9,9.8,9.85,-0.02,846
2008-01-31,2834,10253403,99308400,9.81,9.85,9.6,9.65,-0.2,1203
2008-02-01,2834,10184615,100098470,9.8,9.93,9.73,9.9,0.25,1077
2008-02-12,2834,3782505,36999192,9.85,9.85,9.71,9.77,-0.13,698
2008-02-13,2834,4938015,48422298,9.85,9.88,9.71,9.72,-0.05,655
2008-02-14,2834,11378148,112236844,9.8,9.94,9.8,9.93,0.21,1120
2008-02-15,2834,6181119,60989814,9.85,9.92,9.8,9.92,-0.01,879
2008-02-18,2834,6309343,62388115,9.91,9.95,9.84,9.92,0.0,881
2008-02-19,2834,10825946,107566980,9.95,9.98,9.9,9.95,0.03,1097
2008-02-20,2834,11641735,115689990,9.93,9.97,9.88,9.94,-0.01,927
2008-02-21,2834,8502697,84591438,9.9,9.97,9.9,9.97,0.03,775
2008-02-22,2834,18712226,185402103,9.91,9.94,9.84,9.91,-0.06,980
2008-02-25,2834,39293688,397637257,9.95,10.25,9.95,10.15,0.24,2643
2008-02-26,2834,28007240,284575871,10.15,10.25,10.0,10.05,-0.1,1822
2008-02-27,2834,21679863,219631430,10.15,10.25,10.05,10.05,0.0,1341
2008-02-29,2834,18502920,186400200,10.05,10.15,10.0,10.1,0.05,1102
2008-03-03,2834,10005546,99736063,10.0,10.0,9.92,9.99,-0.11,848
2008-03-04,2834,49320171,505277595,10.0,10.4,9.98,10.3,0.31,3304
2008-03-05,2834,46073062,479515845,10.35,10.5,10.25,10.5,0.2,3490
2008-03-06,2834,98662322,1062271128,10.6,10.95,10.6,10.7,0.2,6622
2008-03-07,2834,22631651,236804538,10.55,10.65,10.35,10.35,-0.35,1969
2008-03-10,2834,16242731,166314872,10.4,10.4,10.15,10.2,-0.15,1374
2008-03-11,2834,16105739,166613395,10.2,10.45,10.2,10.4,0.2,1827
2008-03-12,2834,22848238,238223709,10.55,10.55,10.25,10.3,-0.1,1923
2008-03-13,2834,21622402,223070111,10.35,10.45,10.15,10.2,-0.1,1359
2008-03-14,2834,43702244,457897392,10.35,10.65,10.3,10.45,0.25,3151
2008-03-17,2834,21135154,220139694,10.35,10.55,10.3,10.45,0.0,1661
2008-03-18,2834,23261934,244793346,10.5,10.65,10.4,10.6,0.15,1720
2008-03-19,2834,24981507,265312123,10.7,10.7,10.5,10.55,-0.05,2002
2008-03-20,2834,59348463,633292247,10.6,10.85,10.5,10.85,0.3,3907
2008-03-21,2834,77201292,836470930,10.85,10.95,10.7,10.8,-0.05,5481
2008-03-24,2834,144528801,1631633951,11.3,11.5,11.05,11.4,0.6,7855
2008-03-25,2834,73126049,819214035,11.35,11.35,11.1,11.2,-0.2,4504
2008-03-26,2834,221210665,2605948242,11.35,11.95,11.35,11.95,0.75,14090
2008-03-27,2834,151168242,1815279554,12.0,12.15,11.85,12.1,0.15,12123
2008-03-28,2834,77567892,929212473,12.15,12.2,11.8,12.05,-0.05,5781
2008-03-31,2834,44921373,534244774,12.0,12.05,11.75,11.8,-0.25,3773
2008-04-01,2834,56625239,657290907,11.85,11.9,11.4,11.4,-0.4,4147
2008-04-02,2834,48845541,562120605,11.5,11.65,11.45,11.5,0.1,3879
2008-04-03,2834,56688890,666183123,11.6,11.9,11.55,11.8,0.3,4119
2008-04-07,2834,41974871,496125983,11.85,11.95,11.65,11.9,0.1,3391
2008-04-08,2834,31501578,374506624,11.9,12.0,11.8,11.9,0.0,2200
2008-04-09,2834,51840075,623299300,11.9,12.15,11.85,12.05,0.15,3768
2008-04-10,2834,49718511,601534425,12.0,12.2,11.9,12.2,0.15,3557
2008-04-11,2834,129396170,1624625818,12.3,12.8,12.25,12.4,0.2,9931
2008-04-14,2834,131964796,1698646355,12.4,13.1,12.4,13.0,0.6,9519
2008-04-15,2834,60708594,788664147,13.1,13.2,12.75,12.85,-0.15,6170
2008-04-16,2834,175623581,2352833038,13.0,13.7,12.9,13.6,0.75,14665
2008-04-17,2834,82537209,1097467017,13.55,13.55,13.0,13.0,-0.6,8390
2008-04-18,2834,54714940,726559581,13.1,13.45,13.1,13.4,0.4,5259
2008-04-21,2834,43541010,575330830,13.5,13.55,13.0,13.05,-0.35,4240
2008-04-22,2834,31943111,420309166,13.25,13.35,13.0,13.05,0.0,3130
2008-04-23,2834,30364989,395717357,13.1,13.15,12.95,13.0,-0.05,3076
2008-04-24,2834,35026853,460911841,13.05,13.3,13.0,13.05,0.05,3311
2008-04-25,2834,30037005,396249630,13.3,13.35,13.05,13.05,0.0,2883
2008-04-28,2834,70396050,952880492,13.2,13.7,13.15,13.55,0.5,8155
2008-04-29,2834,56103201,745526574,13.6,13.7,13.0,13.15,-0.4,5169
2008-04-30,2834,57844577,748856569,13.1,13.25,12.7,12.9,-0.25,4928
2008-05-02,2834,20438863,266270703,13.05,13.15,12.9,12.95,0.05,2362
2008-05-05,2834,38289999,486552282,13.05,13.05,12.45,12.5,-0.45,4065
2008-05-06,2834,52511717,681397376,12.7,13.15,12.7,12.95,0.45,5000
2008-05-07,2834,71321391,953105549,13.1,13.55,12.95,13.45,0.5,7180
2008-05-08,2834,119510571,1655172565,13.5,14.15,13.45,13.85,0.4,12281
2008-05-09,2834,44393486,602511609,14.0,14.0,13.45,13.45,-0.4,5142
2008-05-12,2834,26128588,350586323,13.45,13.6,13.3,13.5,0.05,3147
2008-05-13,2834,33272745,453487174,13.55,13.75,13.4,13.75,0.25,3742
2008-05-14,2834,45131993,627264953,13.75,14.1,13.7,13.75,0.0,4775
2008-05-15,2834,49611091,697038953,14.0,14.2,13.9,14.0,0.25,5156
2008-05-16,2834,56488901,795139164,14.1,14.25,13.9,14.05,0.05,5103
2008-05-19,2834,35713890,505411775,14.2,14.25,14.0,14.2,0.15,4262
2008-05-20,2834,65519771,915003733,14.2,14.25,13.7,13.75,-0.45,6581
2008-05-21,2834,54709641,744671978,13.75,13.8,13.45,13.65,-0.1,4969
2008-05-22,2834,44175824,604421046,13.45,13.85,13.45,13.8,0.15,5054
2008-05-23,2834,42434653,581170961,13.8,13.9,13.55,13.6,-0.2,4541
2008-05-26,2834,28863045,394014893,13.6,13.8,13.5,13.6,0.0,3267
2008-05-27,2834,45436998,633895722,13.8,14.05,13.75,14.05,0.45,5258
2008-05-28,2834,53822793,761706078,14.2,14.3,14.0,14.15,0.1,6209
2008-05-29,2834,70608665,1011601695,14.4,14.55,14.1,14.25,0.1,7542
2008-05-30,2834,120263424,1700843947,14.35,14.45,13.85,14.15,-0.1,6885
2008-06-02,2834,30309825,431440150,14.2,14.4,14.1,14.15,0.0,3254
2008-06-03,2834,26215935,369889672,14.15,14.25,13.95,13.95,-0.2,3444
2008-06-04,2834,25723860,364392880,14.0,14.25,14.0,14.25,0.3,2561
2008-06-05,2834,27815839,393808447,14.35,14.35,14.0,14.25,0.0,3845
2008-06-06,2834,41002013,582461907,14.45,14.45,13.9,13.9,-0.35,3649
2008-06-09,2834,36283341,493230121,13.55,13.75,13.4,13.6,-0.3,3741
2008-06-10,2834,45519621,612412353,13.7,13.75,13.1,13.15,-0.45,4952
2008-06-11,2834,33866467,444790421,13.2,13.3,12.95,13.0,-0.15,3696
2008-06-12,2834,43543970,550948967,12.8,12.9,12.3,12.45,-0.55,4415
2008-06-13,2834,38928362,493468590,12.55,12.85,12.5,12.7,0.25,3781
2008-06-16,2834,22662357,293763846,12.95,13.05,12.85,12.9,0.2,2617
2008-06-17,2834,20418177,264498379,12.95,13.2,12.7,13.2,0.3,2603
2008-06-18,2834,21566567,285864203,13.2,13.4,13.1,13.25,0.05,2642
2008-06-19,2834,16655991,215761675,13.0,13.05,12.85,12.95,-0.3,2190
2008-06-20,2834,26560567,335793568,13.0,13.1,12.4,12.4,-0.55,3290
2008-06-23,2834,46811745,566770582,12.1,12.25,11.95,12.15,-0.25,3952
