date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2022-06-01,6796,1358024,71907862,50.5,54.8,50.3,53.8,0.0,985,,,,,
2022-06-02,6796,616020,31654751,52.5,52.8,50.5,50.8,-3.0,531,,,,,
2022-06-06,6796,341227,17077372,51.2,51.2,49.4,49.7,-1.1,293,,,,,
2022-06-07,6796,369901,18284760,49.65,51.3,48.1,50.9,1.2,366,,,,,
2022-06-08,6796,182021,9240449,51.1,51.2,50.5,50.6,-0.3,152,51.160000000000004,,,,
2022-06-09,6796,169188,8577046,50.6,51.0,50.2,50.4,-0.2,161,50.906666666666666,,,,
2022-06-10,6796,170673,8575232,50.1,50.6,50.0,50.0,-0.4,119,50.60444444444445,,,,
2022-06-13,6796,285518,13658137,48.45,48.45,47.0,47.3,-2.7,217,49.50296296296296,,,,
2022-06-14,6796,77613,3614882,47.3,47.3,46.15,47.1,-0.2,90,48.70197530864198,,,,
2022-06-15,6796,47984,2277381,47.1,47.9,46.9,47.9,0.8,49,48.434650205761315,49.85,,,
2022-06-16,6796,136511,6624597,48.55,49.1,48.0,48.1,0.2,135,48.32310013717421,49.53181818181818,,,
2022-06-17,6796,320661,16107506,47.1,52.9,46.9,52.9,4.8,234,49.84873342478281,50.144214876033054,,,
2022-06-20,6796,1254666,71984451,54.0,58.1,54.0,58.1,5.2,921,52.59915561652187,51.59072126220886,,,
2022-06-21,6796,831832,48382476,59.0,61.7,55.6,58.6,0.5,648,54.599437077681245,52.865135578170886,,,
2022-06-22,6796,471599,26486246,58.4,58.6,54.0,54.5,-4.1,444,54.56629138512083,53.162383654867085,,,
2022-06-23,6796,237600,12851974,54.0,55.7,52.8,54.4,-0.1,218,54.51086092341389,53.38740480852761,,,
2022-06-24,6796,194887,10496112,54.4,55.0,52.3,54.0,-0.4,172,54.34057394894259,53.49878575243169,,,
2022-06-27,6796,263197,14477124,54.7,57.0,53.6,54.0,0.0,218,54.22704929929506,53.58991561562593,,,
2022-06-28,6796,129338,6975538,53.7,54.7,53.2,54.4,0.4,113,54.28469953286337,53.73720368551212,,,
2022-06-29,6796,292703,16350660,54.0,57.9,53.2,56.2,1.8,236,54.92313302190892,54.18498483360083,,,
2022-06-30,6796,251874,14164750,56.3,57.6,55.0,56.3,0.1,210,55.38208868127261,54.5695330456734,,,
2022-07-01,6796,226354,12278120,56.0,56.0,53.2,53.3,-3.0,189,54.68805912084841,54.33870885555096,52.42272727272727,,
2022-07-04,6796,112174,6573393,58.6,58.6,58.6,58.6,5.3,89,55.99203941389894,55.113489063632606,52.9598814229249,,
2022-07-05,6796,158088,10180864,64.4,64.4,64.4,64.4,5.8,94,58.79469294259929,56.80194559751759,53.954674342670565,,
2022-07-06,6796,785285,55598162,70.8,70.8,70.8,70.8,6.4,416,62.79646196173286,59.34704639796893,55.41948526939486,,
2022-07-07,6796,2051594,153043079,76.1,76.1,70.0,76.1,0.0,1569,67.23097464115524,62.39303796197458,57.217790898143136,,
2022-07-08,6796,1034982,75057132,73.2,75.8,70.6,72.7,-3.4,857,69.0539830941035,64.26703105979738,58.56406995047852,,
2022-07-11,6796,1477882,115572229,72.3,79.9,70.5,79.9,7.2,912,72.66932206273567,67.10938904892512,60.4193682156543,,
2022-07-12,6796,2145871,180021691,77.0,87.6,77.0,87.0,7.1,1690,77.44621470849044,70.72586376730237,62.73072750124958,,
2022-07-13,6796,1601211,139709439,84.8,92.2,82.0,86.4,-0.6,1428,80.4308098056603,73.57570671870194,64.78892510983657,,
2022-07-14,6796,890448,77385977,85.8,89.8,85.0,86.0,-0.4,771,82.28720653710687,75.8346691334834,66.63336640463339,,
2022-07-15,6796,682321,57438604,86.3,86.3,83.0,83.1,-2.9,564,82.55813769140458,77.15563838194096,68.06524758683918,,
2022-07-18,6796,1322156,118152830,83.1,91.4,83.1,91.4,8.3,989,85.50542512760306,79.74552231249714,70.09435649233143,,
2022-07-19,6796,861022,79719955,91.4,94.1,90.3,92.5,1.1,676,87.83695008506871,82.06451825567949,72.04267331908521,,
2022-07-20,6796,1335663,131176243,94.5,101.5,93.0,101.5,9.0,910,92.39130005671247,85.5982422091923,74.60417998699084,,
2022-07-21,6796,1390610,148755849,103.0,111.5,101.5,111.5,10.0,1070,98.76086670447498,90.30765271661188,77.81251216203512,,
2022-07-22,6796,1769100,202797329,112.0,122.0,106.0,120.0,8.5,1678,105.84057780298332,95.70626131359154,81.48098936533641,,
2022-07-25,6796,892619,104666341,117.5,121.0,114.0,116.0,-4.0,882,109.22705186865555,99.39603198384762,84.48264246400281,,
2022-07-26,6796,689563,80080821,113.0,120.5,113.0,118.5,2.5,688,112.3180345791037,102.86948071405715,87.44067355408951,,
