date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-06-16,6877,1545000,67384400,43.0,45.3,42.55,43.3,21.3,1007,,,,
2023-06-19,6877,861000,35285050,41.95,42.65,39.25,41.0,-2.3,552,,,,
2023-06-20,6877,527000,21850700,40.4,44.0,39.25,43.6,2.6,419,,,,
2023-06-21,6877,1307000,61226650,44.05,49.5,44.05,48.4,4.8,949,,,,
2023-06-26,6877,571000,26358250,46.0,47.15,45.55,46.0,-2.4,428,44.46,,,
2023-06-27,6877,354000,15645650,45.6,46.0,42.95,43.7,-2.3,270,44.20666666666667,,,
2023-06-28,6877,211000,9267100,44.35,44.9,43.5,43.55,-0.15,161,43.98777777777778,,,
2023-06-29,6877,183000,7943750,44.0,44.0,43.15,43.5,-0.05,117,43.825185185185184,,,
2023-06-30,6877,115000,5010400,43.85,43.9,43.4,43.4,-0.1,86,43.68345679012346,,,
2023-07-03,6877,161000,7011100,43.55,43.9,43.3,43.4,0.0,120,43.58897119341564,43.985,,
2023-07-04,6877,165000,7309450,43.85,45.4,43.5,44.1,0.7,129,43.75931412894376,44.00590909090909,,
2023-07-05,6877,153000,6679100,44.7,44.7,43.2,43.4,-0.7,126,43.63954275262917,43.89574380165289,,
2023-07-06,6877,79000,3429600,43.4,43.9,43.15,43.4,0.0,62,43.559695168419445,43.80560856498873,,
2023-07-07,6877,129000,5421350,43.4,43.4,41.15,42.0,-1.4,99,43.0397967789463,43.47731609862714,,
2023-07-10,6877,93000,3845100,43.0,43.0,41.0,41.05,-0.95,79,42.3765311859642,43.03598589887675,,
2023-07-11,6877,166000,7165750,44.75,44.75,42.2,42.7,1.65,122,42.48435412397613,42.974897553626434,,
2023-07-12,6877,137000,5792400,41.85,43.0,41.55,41.65,-1.05,108,42.206236082650754,42.73400708933072,,
2023-07-13,6877,85000,3517100,42.0,42.0,41.2,41.2,-0.45,77,41.870824055100506,42.455096709452405,,
2023-07-14,6877,97000,3988250,41.2,41.3,40.95,40.95,-0.25,79,41.56388270340034,42.18144276227924,,
2023-07-17,6877,271000,10726750,41.1,41.2,38.95,40.1,-0.85,199,41.07592180226689,41.80299862368302,,
2023-07-18,6877,73000,2905850,40.3,40.3,39.55,39.7,-0.4,58,40.61728120151126,41.420635237558834,,
2023-07-19,6877,42000,1666450,40.9,40.9,39.2,39.4,-0.3,38,40.21152080100751,41.053247012548134,42.70454545454546,
2023-07-20,6877,105000,4221950,40.4,40.65,39.8,40.05,0.65,61,40.157680534005,40.87083846481211,42.47371541501977,
2023-07-21,6877,66000,2644700,40.1,40.35,39.9,40.15,0.1,50,40.15512035600334,40.739776925755365,42.27165320501805,
2023-07-24,6877,87000,3601050,41.5,41.8,40.8,40.85,0.7,76,40.38674690400222,40.75981748470893,42.14803118719039,
2023-07-25,6877,292000,12250600,41.8,42.6,41.0,42.55,1.7,179,41.10783126933482,41.08530521476185,42.18298499699992,
2023-07-26,6877,221000,9354100,42.8,43.45,41.5,43.45,0.9,157,41.88855417955654,41.515249721168786,42.293160214652104,
2023-07-27,6877,710000,33650450,46.5,47.75,46.45,47.75,4.3,372,43.8423694530377,42.648840680956276,42.76766802207366,
2023-07-28,6877,1148000,55361050,50.0,50.2,46.5,46.6,-1.15,751,44.761579635358466,43.367233284418774,43.100914281023776,
2023-07-31,6877,343000,15277550,46.2,46.2,43.5,43.5,-3.1,275,44.34105309023898,43.391372687251724,43.13561738702171,
2023-08-01,6877,126000,5455800,44.0,44.0,42.0,43.85,0.35,105,44.17736872682599,43.47475947138778,43.19773761423721,
2023-08-02,6877,213000,9095850,43.7,43.8,42.0,42.25,-1.6,144,43.53491248455066,43.25207593113545,43.1153256477818,
2023-08-04,6877,64000,2687400,42.25,42.45,41.75,42.0,-0.25,58,43.02327498970044,43.024425761838096,43.01834080884425,
2023-08-07,6877,59000,2518650,42.1,44.15,41.8,43.5,1.5,44,43.18218332646696,43.11089380514026,43.060224216770834,
2023-08-08,6877,59000,2520100,42.5,43.3,42.35,42.8,-0.7,27,43.05478888431131,43.05436765875112,43.03759602400815,
2023-08-09,6877,60000,2521400,42.8,42.85,41.8,41.85,-0.95,56,42.65319258954087,42.83539172079637,42.934326804529185,
2023-08-10,6877,106000,4278000,41.6,41.6,40.0,40.0,-1.85,85,41.768795059693915,42.31986595337885,42.67916795196143,
2023-08-11,6877,65000,2594750,40.15,40.15,39.75,39.75,-0.25,54,41.095863373129276,41.85261759821906,42.42445769526913,
2023-08-14,6877,52000,2063350,39.75,40.85,39.4,39.45,-0.3,51,40.54724224875285,41.41577803490651,42.16580920002834,
2023-08-15,6877,21000,840700,39.65,40.3,39.65,40.05,0.6,19,40.3814948325019,41.1674547558326,41.98182579133022,
2023-08-16,6877,25000,992250,40.0,40.0,39.55,39.55,-0.5,23,40.1043298883346,40.87337207295395,41.77036267904064,
2023-08-17,6877,42000,1660650,39.9,40.7,39.2,39.95,0.4,33,40.05288659222307,40.70548624150778,41.612070272167536,
2023-08-18,6877,39000,1541350,39.5,39.95,39.25,39.6,-0.35,33,39.90192439481538,40.504488743051816,41.43710763980514,
2023-08-21,6877,34000,1347500,39.6,39.8,39.6,39.65,0.05,25,39.817949596543585,40.34912715340603,41.28170697547426,
2023-08-22,6877,42000,1679200,39.65,40.6,39.65,39.95,0.3,25,39.861966397695724,40.27655858005948,41.16590636891128,
